table,data
label,"{""concept_id"": ""beats"", ""concept_name"": ""Beats (come first)"", ""type"": ""element"", ""definition"": ""Smallest unit of meaningful change that flips power, knowledge, emotion, or options."", ""scope_notes"": ""Use beats to move a moment; stack beats to build scenes. Track Before→After in a breath."", ""axes"": ""function|intensity"", ""axis_values"": ""action|reaction|decision|revelation | 1|2|3"", ""prerequisites"": """", ""pairs_well_with"": ""pacing|tension|POV|setting"", ""conflicts_with"": ""dead_beats|jumbled_order|overwritten_beats"", ""positive_examples_ref"": ""ex_beats_*"", ""non_examples_ref"": ""ex_beats_weak_*"", ""source_file"": ""Beats come first.md"", ""source_md5"": ""2a9c2e02f60f80b85af7970197f0144b"", ""last_modified_iso"": ""2025-09-30T16:56:14.490488Z""}"
label,"{""concept_id"": ""beats"", ""signal_id"": ""sig_action"", ""signal_type"": ""textual_cue"", ""axis_value"": ""action"", ""description"": ""Visible external change: doors, objects, bodies alter options."", ""detection_hint"": ""Look for verbs that change state (open, break, block)."", ""false_positive_risks"": ""Decorative motion that leaves state unchanged."", ""minimal_example"": ""You flip the latch; the gate swings."", ""counterexample"": ""You touch the latch; nothing is different.""}"
label,"{""concept_id"": ""beats"", ""signal_id"": ""sig_reaction"", ""signal_type"": ""textual_cue"", ""axis_value"": ""reaction"", ""description"": ""Body/mind shift made visible without emotion labels."", ""detection_hint"": ""Physiology or behavior changes: breath, grip, timing, glance."", ""false_positive_risks"": ""Abstract emotion words with no observable cue."", ""minimal_example"": ""Your laugh stops before it lands."", ""counterexample"": ""You feel sad.""}"
label,"{""concept_id"": ""beats"", ""signal_id"": ""sig_decision"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""decision"", ""description"": ""Choice closes one path and opens another."", ""detection_hint"": ""Look for irreversible selection or cost attached to a choice."", ""false_positive_risks"": ""Waffling or ‘deciding’ without any downstream effect."", ""minimal_example"": ""You leave the gun; you take the cash."", ""counterexample"": ""You consider your options.""}"
label,"{""concept_id"": ""beats"", ""signal_id"": ""sig_revelation"", ""signal_type"": ""outcome_change"", ""axis_value"": ""revelation"", ""description"": ""New information reframes what came before."", ""detection_hint"": ""Detail that changes meaning of prior lines."", ""false_positive_risks"": ""Trivia that doesn’t alter stakes or aim."", ""minimal_example"": ""The key fits your lock."", ""counterexample"": ""You notice a random sticker.""}"
label,"{""concept_id"": ""beats"", ""signal_id"": ""sig_patterns_domino"", ""signal_type"": ""structural_pattern"", ""axis_value"": """", ""description"": ""Domino chain: Beat A causes B causes C."", ""detection_hint"": ""Causal links; each beat removes/creates options."", ""false_positive_risks"": ""Sequence without causality."", ""minimal_example"": ""Alarm shrieks → smoke crawls → you drop low."", ""counterexample"": ""Three unrelated actions in a row.""}"
label,"{""concept_id"": ""beats"", ""signal_id"": ""sig_patterns_pressure"", ""signal_type"": ""structural_pattern"", ""axis_value"": """", ""description"": ""Pressure cooker: multiple beats intensify one tension."", ""detection_hint"": ""Yes-but / No-and escalation."", ""false_positive_risks"": ""Repetition without increased cost."", ""minimal_example"": ""You try; door sticks; alarm starts; key snaps."", ""counterexample"": ""You try the same thing three times with no change.""}"
label,"{""concept_id"": ""beats"", ""signal_id"": ""sig_patterns_switcheroo"", ""signal_type"": ""structural_pattern"", ""axis_value"": """", ""description"": ""Expectation flips in a reveal."", ""detection_hint"": ""Seed → misread → reframe beat."", ""false_positive_risks"": ""Twist with no setup."", ""minimal_example"": ""You tuck the blanket; she says ‘Don’t go’… to the dog.""}"
label,"{""concept_id"": ""beats"", ""misconception_id"": ""dead_beats"", ""description"": ""Lines that change nothing (decorative action or emotion label)."", ""tells"": ""Sighing, looking, walking with no consequence; adjectives instead of turns."", ""likely_causes"": ""Confusing description with change."", ""corrective_feedback"": ""Tie each action to an effect. Ask: Before→After? Who pays?"", ""micro_drill"": ""Take 3 decorative lines and add a cost or a consequence.""}"
label,"{""concept_id"": ""beats"", ""misconception_id"": ""jumbled_order"", ""description"": ""Reaction appears before its cause; camera feels miscut."", ""tells"": ""Emotion precedes trigger; justification appears post hoc."", ""likely_causes"": ""Drafting out of sequence."", ""corrective_feedback"": ""Order default: Action → Reaction → Decision → Revelation. Break only on purpose."", ""micro_drill"": ""Rewrite one paragraph to restore causal order.""}"
