table,data
label,"{""concept_id"": ""change"", ""concept_name"": ""Change"", ""type"": ""element"", ""definition"": ""Before→After difference that gives a story meaning; movement in identity, relationship, worldview, or world."", ""scope_notes"": ""Change can be spoken, shown, or hidden; strength can be low/medium/high; failure/refusal to change also counts."", ""axes"": ""mode|strength"", ""axis_values"": ""say|show|hide | 1|2|3"", ""prerequisites"": """", ""pairs_well_with"": ""pacing|tension|theme|structure"", ""conflicts_with"": ""static_reset|cosmetic_change|forced_neat_arc"", ""positive_examples_ref"": ""ex_change_*"", ""non_examples_ref"": ""ex_change_weak_*"", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""concept_id"": ""change"", ""signal_id"": ""sig_mode_say"", ""signal_type"": ""textual_cue"", ""axis_value"": ""say"", ""description"": ""Explicit declarations that define what’s different now."", ""detection_hint"": ""Look for vows, apologies, admissions, ‘from now on’ statements."", ""false_positive_risks"": ""Lip service without downstream behavior."", ""minimal_example"": ""“I was wrong.” / “I can’t do this anymore.”"", ""counterexample"": ""Abstract reflection with no implied shift."", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""concept_id"": ""change"", ""signal_id"": ""sig_mode_show"", ""signal_type"": ""textual_cue"", ""axis_value"": ""show"", ""description"": ""Behavioral proof: decisions, habits, relationships change."", ""detection_hint"": ""New choices, broken routines, letting in/letting go."", ""false_positive_risks"": ""Busy action that leaves state untouched."", ""minimal_example"": ""She deletes the draft and makes the call she avoided."", ""counterexample"": ""She thinks about calling, but nothing changes."", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""concept_id"": ""change"", ""signal_id"": ""sig_mode_hide"", ""signal_type"": ""textual_cue"", ""axis_value"": ""hide"", ""description"": ""Private/denied change: mask in public, cracks in private."", ""detection_hint"": ""Compensation, slips, over-correcting old habits."", ""false_positive_risks"": ""Random secrecy unrelated to change."", ""minimal_example"": ""He says ‘I’m fine’ and avoids the old bar route."", ""counterexample"": ""He says ‘I’m fine’ and behaves exactly the same."", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""concept_id"": ""change"", ""signal_id"": ""sig_strength_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""1"", ""description"": ""Subtle drift; mood/undercurrent; hindsight realizations."", ""detection_hint"": ""Small decisions accumulating; old comforts less satisfying."", ""false_positive_risks"": ""Aimless vibes with no trajectory."", ""minimal_example"": ""She laughs less at the same jokes."", ""counterexample"": ""Identical behavior and outlook from start to end."", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""concept_id"": ""change"", ""signal_id"": ""sig_strength_med"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""2"", ""description"": ""Noticeable turn; visible choice with consequences."", ""detection_hint"": ""Admits, confronts, quits, risks; resistance appears."", ""false_positive_risks"": ""One-off gesture with no ripple into later scenes."", ""minimal_example"": ""He quits the job and calls his sister back."", ""counterexample"": ""He vows to quit, then goes to work as usual."", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""concept_id"": ""change"", ""signal_id"": ""sig_strength_high"", ""signal_type"": ""outcome_change"", ""axis_value"": ""3"", ""description"": ""Breakthrough/break: irreversible transformation or collapse."", ""detection_hint"": ""Burned bridges, reinvention, no going back; drives climax."", ""false_positive_risks"": ""Big scene with zero lasting consequence."", ""minimal_example"": ""She turns herself in; the family dynamic is forever altered."", ""counterexample"": ""Explosive argument followed by total reset."", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""concept_id"": ""change"", ""misconception_id"": ""static_reset"", ""description"": ""Events occur but characters/world end where they started."", ""tells"": ""Busy plot; zero Before→After delta."", ""likely_causes"": ""Mistaking incident count for narrative change."", ""corrective_feedback"": ""Track what’s different at the end; force consequences to stick."", ""micro_drill"": ""Rewrite last scene to show one irreversible difference."", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""concept_id"": ""change"", ""misconception_id"": ""cosmetic_change"", ""description"": ""Surface shifts (haircut, city) without belief/behavior change."", ""tells"": ""New setting, same choices."", ""likely_causes"": ""Confusing novelty with transformation."", ""corrective_feedback"": ""Tie change to choices that cost something."", ""micro_drill"": ""Add a decision that sacrifices an old comfort."", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""concept_id"": ""change"", ""misconception_id"": ""forced_neat_arc"", ""description"": ""Tidy lesson that ignores mess, backslide, or price."", ""tells"": ""Lecture ending; instant enlightenment."", ""likely_causes"": ""Rushing resolution; fear of ambiguity."", ""corrective_feedback"": ""Let contradictions coexist; show cost and residue."", ""micro_drill"": ""Insert a consequence that complicates the ‘win.’"", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""concept_id"": ""change"", ""misconception_id"": ""big_event_equals_change"", ""description"": ""Assuming spectacle equals transformation."", ""tells"": ""Explosions with zero character shift."", ""likely_causes"": ""Equating plot twists with internal change."", ""corrective_feedback"": ""Show how meaning/behavior differs after the event."", ""micro_drill"": ""Write the smallest visible behavior that proves a new belief."", ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""blueprint_id"": ""bp_change_identify_mode_strength"", ""concept_id"": ""change"", ""cognitive_goal"": ""identify"", ""task_type"": ""classify"", ""prompt_template"": ""Label each passage by Change Mode (say/show/hide) and Strength (1/2/3) and justify."", ""expected_features"": ""Correct mode + strength; cite explicit cue or consequence."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate labels with specific cues and Before→After delta."", ""Meets"": ""Mostly accurate; basic justification."", ""Developing"": ""Labels or justifications off; no delta.""}, ""distractor_strategy"": ""Include eventful but static passages."", ""hint_steps"": ""1) What’s different now? 2) Is it said, shown, or hidden? 3) How irreversible?"", ""variation_axes"": ""stakes|POV|time_jump"", ""difficulty"": 2, ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""blueprint_id"": ""bp_change_escalate"", ""concept_id"": ""change"", ""cognitive_goal"": ""revise"", ""task_type"": ""transform"", ""prompt_template"": ""Take a Low (1) change moment and escalate it to Medium (2) then High (3) while keeping the same characters and setting."", ""expected_features"": ""Added cost/resistance; public admission or irreversible act at 3."", ""scoring_method"": ""count_features|rubric"", ""rubric_levels"": {""Exceeds"": ""Clear 1→2→3 ladder with consequences that stick."", ""Meets"": ""Momentum increases; some consequence."", ""Developing"": ""Intensity rises but nothing truly changes.""}, ""distractor_strategy"": ""Offer spectacle without delta as a trap."", ""hint_steps"": ""1) Name what would be lost 2) Add resistance 3) Remove the exit"", ""variation_axes"": ""public_vs_private|deadline"", ""difficulty"": 3, ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
label,"{""blueprint_id"": ""bp_change_diagnose_no_change"", ""concept_id"": ""change"", ""cognitive_goal"": ""diagnose"", ""task_type"": ""spot_fix"", ""prompt_template"": ""This scene feels static. Replace two sentences so that something is different by the end (belief, relationship, option, or world)."", ""expected_features"": ""Visible Before→After; either decision, revelation, or behavior shift."", ""scoring_method"": ""rubric"", ""rubric_levels"": {""Exceeds"": ""Both replacements create a durable delta."", ""Meets"": ""One replacement creates a delta."", ""Developing"": ""Still static or cosmetic.""}, ""distractor_strategy"": ""Decorative gestures; info with no effects."", ""hint_steps"": ""1) State the old pattern 2) Break it 3) Show the cost"", ""variation_axes"": ""scale|relationship"", ""difficulty"": 2, ""source_file"": ""Change.md"", ""source_md5"": ""a853b827b9db696d43d4584b36e799b6"", ""last_modified_iso"": ""2025-09-30T17:01:02.641737Z""}"
