table,data
label,"{""concept_id"": ""role_dynamics"", ""concept_name"": ""Character Role Dynamics"", ""type"": ""element"", ""definition"": ""The ecosystem of character roles—hero, villain, mentor, sidekick, foil, symbolic figure—shaping narrative energy through relationships, conflicts, evolutions, and impact on plot/theme."", ""scope_notes"": ""Role dynamics operate at four pillars: relationships, conflicts, evolution, impact. Strength dials from low→medium→high intensity."", ""axes"": ""pillar|intensity"", ""axis_values"": ""relationships|conflicts|evolution|impact | low|medium|high"", ""prerequisites"": """", ""pairs_well_with"": ""identity|drive|decision_style|backstory|change|theme"", ""conflicts_with"": ""flat_roles|filler_characters|resetting_conflicts|no_growth"", ""positive_examples_ref"": ""ex_role_dynamics_*"", ""non_examples_ref"": ""ex_role_dynamics_weak_*"", ""source_file"": ""Character Role Dynamics 2.md"", ""source_md5"": ""5889ddc03024a73768975a09f81153b9"", ""last_modified_iso"": ""2025-09-30T18:39:09.869082Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_relationships"", ""signal_type"": ""textual_cue"", ""axis_value"": ""relationships"", ""description"": ""Role relationships show bonds (love, loyalty, rivalry, dependence) that influence choices."", ""detection_hint"": ""Look for mentor-hero bonds, villain-sidekick ties, ensemble webs."", ""false_positive_risks"": ""Pairings with no mutual effect."", ""minimal_example"": ""Luke and Obi-Wan shaping each other."", ""counterexample"": ""Random mentor advice never heeded."", ""source_file"": ""Character Role Dynamics 2.md"", ""source_md5"": ""5889ddc03024a73768975a09f81153b9"", ""last_modified_iso"": ""2025-09-30T18:39:09.869082Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_conflicts"", ""signal_type"": ""textual_cue"", ""axis_value"": ""conflicts"", ""description"": ""Role conflicts spark tension when roles’ goals or values clash."", ""detection_hint"": ""Hero-villain ideological battles, mentor disagreements, foil clashes."", ""false_positive_risks"": ""Noise fights with no stakes."", ""minimal_example"": ""Batman vs Joker ideological clash."", ""counterexample"": ""Two heroes bickering for filler."", ""source_file"": ""Character Role Dynamics 2.md"", ""source_md5"": ""5889ddc03024a73768975a09f81153b9"", ""last_modified_iso"": ""2025-09-30T18:39:09.869082Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_evolution"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""evolution"", ""description"": ""Role evolution shifts function over time (sidekick→hero, mentor fall, villain redemption)."", ""detection_hint"": ""Track changes with cost, consistency, thematic echoes."", ""false_positive_risks"": ""Random flip-flops with no setup."", ""minimal_example"": ""Han Solo from rogue→hero."", ""counterexample"": ""Villain kind one scene, evil next, no reason."", ""source_file"": ""Character Role Dynamics 2.md"", ""source_md5"": ""5889ddc03024a73768975a09f81153b9"", ""last_modified_iso"": ""2025-09-30T18:39:09.869082Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_impact"", ""signal_type"": ""outcome_change"", ""axis_value"": ""impact"", ""description"": ""Role dynamics drive plot beats and amplify theme."", ""detection_hint"": ""Hero-villain clash pushes climax; subplots tie via sidekick roles."", ""false_positive_risks"": ""Spectacle unrelated to theme."", ""minimal_example"": ""Neo/Smith clash embodies freedom vs control."", ""counterexample"": ""Big battle scene, no thematic echo."", ""source_file"": ""Character Role Dynamics 2.md"", ""source_md5"": ""5889ddc03024a73768975a09f81153b9"", ""last_modified_iso"": ""2025-09-30T18:39:09.869082Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""low"", ""description"": ""Subtle dynamics; roles interact quietly."", ""detection_hint"": ""Small banter, light bonds; cozy feel."", ""false_positive_risks"": ""Flat filler with no interaction."", ""minimal_example"": ""Mentor/student gardening in Secret Garden."", ""counterexample"": ""Two characters share space but no bond."", ""source_file"": ""Character Role Dynamics 2.md"", ""source_md5"": ""5889ddc03024a73768975a09f81153b9"", ""last_modified_iso"": ""2025-09-30T18:39:09.869082Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_med"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""medium"", ""description"": ""Balanced dynamics; conflicts and evolutions drive subplots."", ""detection_hint"": ""Contained clashes, small shifts."", ""false_positive_risks"": ""Busy but inconsequential."", ""minimal_example"": ""Woody/Buzz rivalry to friendship."", ""counterexample"": ""Argument resolved instantly."", ""source_file"": ""Character Role Dynamics 2.md"", ""source_md5"": ""5889ddc03024a73768975a09f81153b9"", ""last_modified_iso"": ""2025-09-30T18:39:09.869082Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_high"", ""signal_type"": ""outcome_change"", ""axis_value"": ""high"", ""description"": ""Explosive dynamics; conflicts and evolutions reshape plot/theme."", ""detection_hint"": ""Hero-villain showdowns, mentor betrayals."", ""false_positive_risks"": ""Spectacle with reset."", ""minimal_example"": ""Batman/Joker moral clash; Daenerys shift."", ""counterexample"": ""Massive betrayal ignored after."", ""source_file"": ""Character Role Dynamics 2.md"", ""source_md5"": ""5889ddc03024a73768975a09f81153b9"", ""last_modified_iso"": ""2025-09-30T18:39:09.869082Z""}"
label,"{""concept_id"": ""role_dynamics"", ""misconception_id"": ""flat_roles"", ""description"": ""Roles remain static, never influencing each other."", ""tells"": ""Characters locked in bio labels."", ""likely_causes"": ""Bio-style cast lists."", ""corrective_feedback"": ""Show dynamic bonds, conflicts, shifts."", ""micro_drill"": ""Rewrite a flat role to clash then evolve."", ""source_file"": ""Character Role Dynamics 2.md"", ""source_md5"": ""5889ddc03024a73768975a09f81153b9"", ""last_modified_iso"": ""2025-09-30T18:39:09.869082Z""}"
label,"{""concept_id"": ""role_dynamics"", ""misconception_id"": ""filler_characters"", ""description"": ""Characters serve no plot/theme purpose."", ""tells"": ""Subplots vanish; zero impact."", ""likely_causes"": ""Stuffing cast for noise."", ""corrective_feedback"": ""Tie every role to a plot beat or theme echo."", ""micro_drill"": ""Cut or repurpose filler role."", ""source_file"": ""Character Role Dynamics 2.md"", ""source_md5"": ""5889ddc03024a73768975a09f81153b9"", ""last_modified_iso"": ""2025-09-30T18:39:09.869082Z""}"
