table,data
label,"{""concept_id"": ""clause"", ""concept_name"": ""Clause"", ""set"": ""Grammar & Punctuation"", ""type"": ""unit"", ""definition"": ""A subject–verb idea unit. Clauses come in independent (can stand alone) and dependent (cannot stand alone) forms."", ""axes"": ""kind|composition|linkage|density|order"", ""axis_values"": ""independent|dependent | simple|layered | coord|subord|juxtaposed | low|medium|high | lead|mid|tail"", ""learning_goals"": ""identify|combine|vary|diagnose_errors|revise"", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""signal_id"": ""sig_kind_ind"", ""signal_type"": ""textual_cue"", ""axis_value"": ""kind:independent"", ""description"": ""Contains a subject and a finite verb; expresses a complete thought."", ""detection_hint"": ""‘She left.’ ‘The storm broke at midnight.’"", ""false_positive_risks"": ""Fragment mistaken for clause."", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""signal_id"": ""sig_kind_dep"", ""signal_type"": ""textual_cue"", ""axis_value"": ""kind:dependent"", ""description"": ""Has subject+verb but is introduced by a subordinator; feels unfinished without an IC."", ""detection_hint"": ""‘When she arrives…’ ‘Because it rained…’"", ""false_positive_risks"": ""Comma splice that treats DC as IC."", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""signal_id"": ""sig_comp_simple"", ""signal_type"": ""textual_cue"", ""axis_value"": ""composition:simple"", ""description"": ""Bare subject+finite verb with minimal modifiers."", ""detection_hint"": ""‘He ran.’ ‘They waited.’"", ""false_positive_risks"": ""Verbals (gerund/infinitive) misread as finite verb."", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""signal_id"": ""sig_comp_layer"", ""signal_type"": ""textual_cue"", ""axis_value"": ""composition:layered"", ""description"": ""Subject+finite verb expanded by phrases/embedded clauses."", ""detection_hint"": ""‘She ran through the alley, gasping for air.’"", ""false_positive_risks"": ""Pile of phrases without a finite verb."", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""signal_id"": ""sig_link_coord"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""linkage:coord"", ""description"": ""Two ICs joined with a coordinating conjunction (FANBOYS) or semicolon."", ""detection_hint"": ""‘I stayed, and she left.’ ‘I stayed; she left.’"", ""false_positive_risks"": ""Comma splice between ICs with no conjunction."", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""signal_id"": ""sig_link_subord"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""linkage:subord"", ""description"": ""DC + IC or IC + DC linked by a subordinator (because, when, although, if…)."", ""detection_hint"": ""‘Because it rained, we stayed.’ ‘We stayed because it rained.’"", ""false_positive_risks"": ""Dangling subordinator creating fragment."", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""signal_id"": ""sig_link_juxta"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""linkage:juxtaposed"", ""description"": ""Separate ICs with a period for punch or with a dash for snap."", ""detection_hint"": ""‘He opened the door. The room was empty.’"", ""false_positive_risks"": ""Run-on with no punctuation or link."", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""signal_id"": ""sig_density"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""density"", ""description"": ""Number of clauses per sentence controls rhythm; higher density slows/loads, low density speeds/simplifies."", ""detection_hint"": ""Count IC/DC units; check reversibility of effects."", ""false_positive_risks"": ""Overstuffed clause chains with no hierarchy."", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""signal_id"": ""sig_order_lead"", ""signal_type"": ""textual_cue"", ""axis_value"": ""order:lead"", ""description"": ""DC placed first for suspense/setup."", ""detection_hint"": ""‘When the lights flicker, run.’"", ""false_positive_risks"": ""Weak IC payoff after heavy setup."", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""signal_id"": ""sig_order_tail"", ""signal_type"": ""textual_cue"", ""axis_value"": ""order:tail"", ""description"": ""DC placed last for explanation/balance."", ""detection_hint"": ""‘Run when the lights flicker.’"", ""false_positive_risks"": ""Redundant DC that repeats IC."", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""clause"", ""error_id"": ""fragment"", ""description"": ""Lacks a finite verb or subject; DC alone presented as a sentence."", ""fixit"": ""Add missing subject/finite verb or attach DC to an IC."", ""example_fix"": ""‘When I arrived.’ → ‘When I arrived, the room was empty.’"", ""source_file"": ""Clause.md"", ""source_md5"": ""7fa0135df716d5df9bbb5df7f3250396"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
