table,data
label,"{""concept_id"": ""colon"", ""concept_name"": ""Colon (:)"", ""set"": ""Grammar & Punctuation"", ""type"": ""mark"", ""definition"": ""A hinge that follows an independent clause to introduce what clarifies, explains, exemplifies, or defines what came before."", ""axes"": ""use|scope|tone|pause"", ""axis_values"": ""list|explanation|definition|quotation|emphasis|ratio|time|title | narrow|broad | formal|dramatic | short|long"", ""learning_goals"": ""deploy|diagnose_misuse|revise_for_emphasis|calibrate_rhythm"", ""source_file"": ""Colon.md"", ""source_md5"": ""2d1d33c9e5b5b1e5d3c0ac6c74e42dc8"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""colon"", ""signal_id"": ""sig_ind_left"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""use:independence_rule"", ""description"": ""Left side is an independent clause that sets up a promise."", ""detection_hint"": ""Test by reading left alone as a sentence."", ""false_positive_risks"": ""Left side fragment (‘My reasons are:’)"", ""source_file"": ""Colon.md"", ""source_md5"": ""2d1d33c9e5b5b1e5d3c0ac6c74e42dc8"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""colon"", ""signal_id"": ""sig_list"", ""signal_type"": ""textual_cue"", ""axis_value"": ""use:list"", ""description"": ""List introduced cleanly after a setup clause."", ""detection_hint"": ""‘We need three things: bread, cheese, wine.’"", ""false_positive_risks"": ""Colon after verb/prep (‘are:’ ‘including:’)"", ""source_file"": ""Colon.md"", ""source_md5"": ""2d1d33c9e5b5b1e5d3c0ac6c74e42dc8"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""colon"", ""signal_id"": ""sig_explain"", ""signal_type"": ""textual_cue"", ""axis_value"": ""use:explanation"", ""description"": ""Second part restates/clarifies the first."", ""detection_hint"": ""‘She made her choice: she couldn’t betray herself.’"", ""false_positive_risks"": ""Weak payload that repeats without adding."", ""source_file"": ""Colon.md"", ""source_md5"": ""2d1d33c9e5b5b1e5d3c0ac6c74e42dc8"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""colon"", ""signal_id"": ""sig_define"", ""signal_type"": ""textual_cue"", ""axis_value"": ""use:definition"", ""description"": ""Term before colon; crisp definition after."", ""detection_hint"": ""‘Melancholy: a sweetness turned sour.’"", ""false_positive_risks"": ""Vague, non-definition payload."", ""source_file"": ""Colon.md"", ""source_md5"": ""2d1d33c9e5b5b1e5d3c0ac6c74e42dc8"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""colon"", ""signal_id"": ""sig_quote"", ""signal_type"": ""textual_cue"", ""axis_value"": ""use:quotation"", ""description"": ""Colon introduces a full-sentence quotation for punch."", ""detection_hint"": ""‘He repeated the line: “This is the way.”’"", ""false_positive_risks"": ""Comma where weight is needed."", ""source_file"": ""Colon.md"", ""source_md5"": ""2d1d33c9e5b5b1e5d3c0ac6c74e42dc8"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""colon"", ""signal_id"": ""sig_emphasis"", ""signal_type"": ""textual_cue"", ""axis_value"": ""use:emphasis"", ""description"": ""One-word/short-phrase spotlight after colon."", ""detection_hint"": ""‘There was one option left: run.’"", ""false_positive_risks"": ""Overuse dulling effect."", ""source_file"": ""Colon.md"", ""source_md5"": ""2d1d33c9e5b5b1e5d3c0ac6c74e42dc8"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""colon"", ""signal_id"": ""sig_scope_narrow"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""scope:narrow"", ""description"": ""Right side is a compact word/phrase."", ""detection_hint"": ""Spotlight effect."", ""false_positive_risks"": ""Payload too thin/obvious."", ""source_file"": ""Colon.md"", ""source_md5"": ""2d1d33c9e5b5b1e5d3c0ac6c74e42dc8"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""colon"", ""signal_id"": ""sig_scope_broad"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""scope:broad"", ""description"": ""Right side expands into a clause or cascade."", ""detection_hint"": ""Cinematic reveal/detail."", ""false_positive_risks"": ""Rambling that breaks promise."", ""source_file"": ""Colon.md"", ""source_md5"": ""2d1d33c9e5b5b1e5d3c0ac6c74e42dc8"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
label,"{""concept_id"": ""colon"", ""signal_id"": ""sig_tone_formal"", ""signal_type"": ""textual_cue"", ""axis_value"": ""tone:formal"", ""description"": ""Neutral/academic delivery (lists, evidence)."", ""detection_hint"": ""Authority and clarity."", ""false_positive_risks"": ""Stuffy overuse."", ""source_file"": ""Colon.md"", ""source_md5"": ""2d1d33c9e5b5b1e5d3c0ac6c74e42dc8"", ""last_modified_iso"": ""2025-09-30T19:00:48.384985Z""}"
