table,data
label,"{""concept_id"": ""dash"", ""concept_name"": ""Dash (— / –)"", ""type"": ""mark"", ""set"": ""Grammar & Punctuation"", ""definition"": ""Em dash for interruption/emphasis; en dash for ranges and relationships."", ""axes"": ""kind|use|tone"", ""axis_values"": ""em|en | interruption|aside|heavier_link|range|connection | neutral|dramatic"", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""signal_id"": ""sig_kind_em"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""kind:em"", ""description"": ""kind ⇒ em"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""signal_id"": ""sig_kind_en"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""kind:en"", ""description"": ""kind ⇒ en"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""signal_id"": ""sig_use_interruption"", ""signal_type"": ""textual_cue"", ""axis_value"": ""use:interruption"", ""description"": ""use ⇒ interruption"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""signal_id"": ""sig_use_aside"", ""signal_type"": ""textual_cue"", ""axis_value"": ""use:aside"", ""description"": ""use ⇒ aside"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""signal_id"": ""sig_use_heavier_link"", ""signal_type"": ""textual_cue"", ""axis_value"": ""use:heavier_link"", ""description"": ""use ⇒ heavier_link"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""signal_id"": ""sig_use_range"", ""signal_type"": ""textual_cue"", ""axis_value"": ""use:range"", ""description"": ""use ⇒ range"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""signal_id"": ""sig_use_connection"", ""signal_type"": ""textual_cue"", ""axis_value"": ""use:connection"", ""description"": ""use ⇒ connection"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""signal_id"": ""sig_tone_neutral"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""tone:neutral"", ""description"": ""tone ⇒ neutral"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""signal_id"": ""sig_tone_dramatic"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""tone:dramatic"", ""description"": ""tone ⇒ dramatic"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""error_id"": ""em_overuse"", ""description"": ""Using em dashes where commas/periods would read cleaner"", ""fixit"": ""Reduce; vary with other punctuation"", ""example_fix"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""dash"", ""error_id"": ""en_vs_hyphen"", ""description"": ""Using hyphen where en dash is standard for ranges/connections"", ""fixit"": ""Use en dash for spans and links"", ""example_fix"": """", ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""blueprint_id"": ""bp_dash_swap"", ""concept_id"": ""dash"", ""cognitive_goal"": ""revise"", ""task_type"": ""transform"", ""prompt_template"": ""Swap commas/parentheses with em dashes where energy improves—and remove gratuitous dashes elsewhere."", ""expected_features"": ""Sharper rhythm; fewer misuses."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Misses""}, ""variation_axes"": ""kind|use|tone"", ""difficulty"": 2, ""source_file"": ""Dash.md"", ""source_md5"": ""afc1ad9457061bd4017afd26e147b827"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
