table,data
label,"{""concept_id"": ""decision"", ""concept_name"": ""Decision"", ""type"": ""element"", ""set"": ""Narrative"", ""definition"": ""Meaningful choice that changes trajectory; risk and consequence convert potential into plot."", ""axes"": ""type|visibility|reversibility"", ""axis_values"": ""moral|strategic|relational|identity|survival | private|public | reversible|irreversible"", ""pairs_well_with"": """", ""conflicts_with"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""signal_id"": ""sig_type_moral"", ""signal_type"": ""textual_cue"", ""axis_value"": ""type:moral"", ""description"": ""type ⇒ moral"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""signal_id"": ""sig_type_strategic"", ""signal_type"": ""textual_cue"", ""axis_value"": ""type:strategic"", ""description"": ""type ⇒ strategic"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""signal_id"": ""sig_type_relational"", ""signal_type"": ""textual_cue"", ""axis_value"": ""type:relational"", ""description"": ""type ⇒ relational"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""signal_id"": ""sig_type_identity"", ""signal_type"": ""textual_cue"", ""axis_value"": ""type:identity"", ""description"": ""type ⇒ identity"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""signal_id"": ""sig_type_survival"", ""signal_type"": ""textual_cue"", ""axis_value"": ""type:survival"", ""description"": ""type ⇒ survival"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""signal_id"": ""sig_visibility_private"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""visibility:private"", ""description"": ""visibility ⇒ private"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""signal_id"": ""sig_visibility_public"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""visibility:public"", ""description"": ""visibility ⇒ public"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""signal_id"": ""sig_reversibility_reversible"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""reversibility:reversible"", ""description"": ""reversibility ⇒ reversible"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""signal_id"": ""sig_reversibility_irreversible"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""reversibility:irreversible"", ""description"": ""reversibility ⇒ irreversible"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""misconception_id"": ""no_decision"", ""description"": ""Scenes drift without a real choice"", ""tells"": """", ""likely_causes"": """", ""corrective_feedback"": """", ""micro_drill"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""decision"", ""misconception_id"": ""free_lunch"", ""description"": ""Choices with no cost or tradeoff"", ""tells"": """", ""likely_causes"": """", ""corrective_feedback"": """", ""micro_drill"": """", ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""blueprint_id"": ""bp_decision_map"", ""concept_id"": ""decision"", ""cognitive_goal"": ""analyze"", ""task_type"": ""order"", ""prompt_template"": ""Map options→choice→immediate consequence→long-term echo for a character."", ""expected_features"": ""Causal chain with cost and echo."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Precise labels + consequence"", ""Meets"": ""Mostly correct"", ""Developing"": ""Off or vague""}, ""distractor_strategy"": """", ""hint_steps"": """", ""variation_axes"": ""type|visibility|reversibility"", ""difficulty"": 2, ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""blueprint_id"": ""bp_decision_raise_cost"", ""concept_id"": ""decision"", ""cognitive_goal"": ""revise"", ""task_type"": ""spot_fix"", ""prompt_template"": ""Increase the cost or publicness of a too-easy decision."", ""expected_features"": ""Choice becomes sticky and risky."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Precise labels + consequence"", ""Meets"": ""Mostly correct"", ""Developing"": ""Off or vague""}, ""distractor_strategy"": """", ""hint_steps"": """", ""variation_axes"": ""type|visibility|reversibility"", ""difficulty"": 2, ""source_file"": ""Decision.md"", ""source_md5"": ""21208ee78bc2162863a2055f96c2fdc5"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
