table,data
label,"{""concept_id"": ""desire"", ""concept_name"": ""Desire"", ""type"": ""element"", ""set"": ""Narrative"", ""definition"": ""The engine of want that drives action and stakes; layered, shifting, sometimes hidden."", ""axes"": ""orientation|clarity|strength"", ""axis_values"": ""toward|away|both | overt|hidden | low|medium|high"", ""pairs_well_with"": """", ""conflicts_with"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""desire"", ""signal_id"": ""sig_orientation_toward"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""orientation:toward"", ""description"": ""orientation ⇒ toward"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""desire"", ""signal_id"": ""sig_orientation_away"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""orientation:away"", ""description"": ""orientation ⇒ away"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""desire"", ""signal_id"": ""sig_orientation_both"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""orientation:both"", ""description"": ""orientation ⇒ both"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""desire"", ""signal_id"": ""sig_clarity_overt"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""clarity:overt"", ""description"": ""clarity ⇒ overt"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""desire"", ""signal_id"": ""sig_clarity_hidden"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""clarity:hidden"", ""description"": ""clarity ⇒ hidden"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""desire"", ""signal_id"": ""sig_strength_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""strength:low"", ""description"": ""strength ⇒ low"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""desire"", ""signal_id"": ""sig_strength_medium"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""strength:medium"", ""description"": ""strength ⇒ medium"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""desire"", ""signal_id"": ""sig_strength_high"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""strength:high"", ""description"": ""strength ⇒ high"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""desire"", ""misconception_id"": ""fuzzy"", ""description"": ""Desire is unclear or generic"", ""tells"": """", ""likely_causes"": """", ""corrective_feedback"": """", ""micro_drill"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""concept_id"": ""desire"", ""misconception_id"": ""static"", ""description"": ""Want never evolves"", ""tells"": """", ""likely_causes"": """", ""corrective_feedback"": """", ""micro_drill"": """", ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
label,"{""blueprint_id"": ""bp_desire_surface_vs_core"", ""concept_id"": ""desire"", ""cognitive_goal"": ""analyze"", ""task_type"": ""classify"", ""prompt_template"": ""Label surface want vs core hunger and show one behavior that proves each."", ""expected_features"": ""Correct split with behavioral evidence."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Precise labels + consequence"", ""Meets"": ""Mostly correct"", ""Developing"": ""Off or vague""}, ""distractor_strategy"": """", ""hint_steps"": """", ""variation_axes"": ""orientation|clarity|strength"", ""difficulty"": 3, ""source_file"": ""Desire.md"", ""source_md5"": ""bf27d944dd7a2acb1839d0bb46cd02e8"", ""last_modified_iso"": ""2025-09-30T19:17:35.485587Z""}"
