table,data
label,"{""concept_id"": ""interjection"", ""concept_name"": ""Interjections"", ""set"": ""Grammar & Punctuation"", ""type"": ""extrasyntactic_marker"", ""definition"": ""Standalone words/syllables that express emotion, manage turns/attention, or signal stance; outside syntax but govern timing and mood."", ""axes"": ""function|control|placement|register|frequency"", ""axis_values"": ""emotion|management|realization|hesitation|silence|expletive | intensity|length|orthography|partner_punct|backchannel|redaction | initial|medial|terminal | plain|elevated | sparse|mouthy"", ""source_file"": ""Interjections.md"", ""source_md5"": ""ed538a7c22e075ae59ae31daddc58b54"", ""last_modified_iso"": ""2025-09-30T20:19:51.814047Z""}"
label,"{""concept_id"": ""interjection"", ""signal_id"": ""sig_function_emotion"", ""signal_type"": ""textual_cue"", ""axis_value"": ""function:emotion"", ""description"": ""Pain/joy/disgust/surprise markers (‘Ow!’ ‘Yay!’ ‘Ew.’)."", ""false_positive_risks"": ""Temperature set by punctuation/caps."", ""detection_hint"": ""Check role in turn-taking/emotion."", ""source_file"": ""Interjections.md"", ""source_md5"": ""ed538a7c22e075ae59ae31daddc58b54"", ""last_modified_iso"": ""2025-09-30T20:19:51.814047Z""}"
label,"{""concept_id"": ""interjection"", ""signal_id"": ""sig_function_management"", ""signal_type"": ""textual_cue"", ""axis_value"": ""function:management"", ""description"": ""Attention/turn-taking (‘hey’ ‘yo’ ‘psst’ ‘ahem’)."", ""false_positive_risks"": ""Mis-cast dialect reads false."", ""detection_hint"": ""Check role in turn-taking/emotion."", ""source_file"": ""Interjections.md"", ""source_md5"": ""ed538a7c22e075ae59ae31daddc58b54"", ""last_modified_iso"": ""2025-09-30T20:19:51.814047Z""}"
label,"{""concept_id"": ""interjection"", ""signal_id"": ""sig_function_realization"", ""signal_type"": ""textual_cue"", ""axis_value"": ""function:realization"", ""description"": ""Shift of knowledge (‘Oh.’ ‘Aha!’ ‘Whoa.’)."", ""false_positive_risks"": ""Over/under-punctuating distorts tone."", ""detection_hint"": ""Check role in turn-taking/emotion."", ""source_file"": ""Interjections.md"", ""source_md5"": ""ed538a7c22e075ae59ae31daddc58b54"", ""last_modified_iso"": ""2025-09-30T20:19:51.814047Z""}"
label,"{""concept_id"": ""interjection"", ""signal_id"": ""sig_function_hesitation"", ""signal_type"": ""textual_cue"", ""axis_value"": ""function:hesitation"", ""description"": ""Stall/backchannel (‘uh’ ‘um’ ‘mm-hmm’)."", ""false_positive_risks"": ""Spellings map to duration."", ""detection_hint"": ""Check role in turn-taking/emotion."", ""source_file"": ""Interjections.md"", ""source_md5"": ""ed538a7c22e075ae59ae31daddc58b54"", ""last_modified_iso"": ""2025-09-30T20:19:51.814047Z""}"
label,"{""concept_id"": ""interjection"", ""signal_id"": ""sig_function_silence"", ""signal_type"": ""textual_cue"", ""axis_value"": ""function:silence"", ""description"": ""Command hush (‘Shh.’ ‘Hush.’)."", ""false_positive_risks"": ""Overuse feels juvenile."", ""detection_hint"": ""Check role in turn-taking/emotion."", ""source_file"": ""Interjections.md"", ""source_md5"": ""ed538a7c22e075ae59ae31daddc58b54"", ""last_modified_iso"": ""2025-09-30T20:19:51.814047Z""}"
label,"{""concept_id"": ""interjection"", ""signal_id"": ""sig_function_expletive"", ""signal_type"": ""textual_cue"", ""axis_value"": ""function:expletive"", ""description"": ""Curses/expletives; tone-heavy, use intentionally."", ""false_positive_risks"": ""Censoring changes tone (‘F—k’ vs ‘Fuck’)."", ""detection_hint"": ""Check role in turn-taking/emotion."", ""source_file"": ""Interjections.md"", ""source_md5"": ""ed538a7c22e075ae59ae31daddc58b54"", ""last_modified_iso"": ""2025-09-30T20:19:51.814047Z""}"
label,"{""concept_id"": ""interjection"", ""signal_id"": ""sig_control_intensity"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""control:intensity"", ""description"": ""Word choice + punctuation ladder (‘wow.’ → ‘WOW!!!’)."", ""detection_hint"": ""Tune for heat and rhythm."", ""false_positive_risks"": ""Overuse, costume voice."", ""source_file"": ""Interjections.md"", ""source_md5"": ""ed538a7c22e075ae59ae31daddc58b54"", ""last_modified_iso"": ""2025-09-30T20:19:51.814047Z""}"
label,"{""concept_id"": ""interjection"", ""signal_id"": ""sig_control_length"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""control:length"", ""description"": ""Letter elongation maps to duration (‘No.’ ‘Nooo.’)."", ""detection_hint"": ""Tune for heat and rhythm."", ""false_positive_risks"": ""Overuse, costume voice."", ""source_file"": ""Interjections.md"", ""source_md5"": ""ed538a7c22e075ae59ae31daddc58b54"", ""last_modified_iso"": ""2025-09-30T20:19:51.814047Z""}"
label,"{""concept_id"": ""interjection"", ""signal_id"": ""sig_control_orthography"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""control:orthography"", ""description"": ""Caps/italics/bold shift stance (‘oh’ vs ‘OH’)."", ""detection_hint"": ""Tune for heat and rhythm."", ""false_positive_risks"": ""Overuse, costume voice."", ""source_file"": ""Interjections.md"", ""source_md5"": ""ed538a7c22e075ae59ae31daddc58b54"", ""last_modified_iso"": ""2025-09-30T20:19:51.814047Z""}"
