table,data
label,"{""concept_id"": ""pacing_foundations"", ""concept_name"": ""Pacing: Foundations"", ""set"": ""Narrative"", ""type"": ""element"", ""definition"": ""Reader’s experience of time—sculpted via stretch/compress/skip/loop/collapse, not word count."", ""axes"": ""manipulation|tempo|clock_focus|emotion_bend"", ""axis_values"": ""stretch|compress|skip|loop|collapse | fast|slow|irregular | external_time|internal_time | low|medium|high"", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_manipulation_stretch"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""manipulation:stretch"", ""description"": ""manipulation ⇒ stretch"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_manipulation_compress"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""manipulation:compress"", ""description"": ""manipulation ⇒ compress"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_manipulation_skip"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""manipulation:skip"", ""description"": ""manipulation ⇒ skip"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_manipulation_loop"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""manipulation:loop"", ""description"": ""manipulation ⇒ loop"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_manipulation_collapse"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""manipulation:collapse"", ""description"": ""manipulation ⇒ collapse"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_tempo_fast"", ""signal_type"": ""textual_cue"", ""axis_value"": ""tempo:fast"", ""description"": ""tempo ⇒ fast"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_tempo_slow"", ""signal_type"": ""textual_cue"", ""axis_value"": ""tempo:slow"", ""description"": ""tempo ⇒ slow"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_tempo_irregular"", ""signal_type"": ""textual_cue"", ""axis_value"": ""tempo:irregular"", ""description"": ""tempo ⇒ irregular"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_clock_focus_external_time"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""clock_focus:external_time"", ""description"": ""clock_focus ⇒ external_time"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_clock_focus_internal_time"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""clock_focus:internal_time"", ""description"": ""clock_focus ⇒ internal_time"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_emotion_bend_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""emotion_bend:low"", ""description"": ""emotion_bend ⇒ low"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_emotion_bend_medium"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""emotion_bend:medium"", ""description"": ""emotion_bend ⇒ medium"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""concept_id"": ""pacing_foundations"", ""signal_id"": ""sig_emotion_bend_high"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""emotion_bend:high"", ""description"": ""emotion_bend ⇒ high"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""blueprint_id"": ""bp_pace_rewrite_modes"", ""concept_id"": ""pacing_foundations"", ""cognitive_goal"": ""design"", ""task_type"": ""transform"", ""prompt_template"": ""Rewrite the same beat three ways: real-time, stretched, jump-cut summary."", ""expected_features"": ""Tempo differences audible; emotion preserved."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""manipulation|tempo|clock_focus|emotion_bend"", ""difficulty"": 2, ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
label,"{""blueprint_id"": ""bp_time_switch_mid"", ""concept_id"": ""pacing_foundations"", ""cognitive_goal"": ""revise"", ""task_type"": ""transform"", ""prompt_template"": ""Start a scene fast, then shift to slow at the pressure point."", ""expected_features"": ""Clean tempo switch; impact rises."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""manipulation|tempo|clock_focus|emotion_bend"", ""difficulty"": 3, ""source_file"": ""Pacing Part 1.md"", ""source_md5"": ""f7b5ebafece329fced0e76a9eb3340fe"", ""last_modified_iso"": ""2025-09-30T20:25:21.917444Z""}"
