table,data
label,"{""concept_id"": ""point_of_view"", ""concept_name"": ""Point of View"", ""set"": ""Narrative"", ""type"": ""element"", ""definition"": ""Narrative lens controlling access, intimacy, scope, and trust."", ""axes"": ""type|distance|reliability|scope|tense"", ""axis_values"": ""first|second|third_limited|third_omniscient | close|medium|distant | reliable|unreliable | single|multiple | past|present"", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_type_first"", ""signal_type"": ""textual_cue"", ""axis_value"": ""type:first"", ""description"": ""type ⇒ first"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_type_second"", ""signal_type"": ""textual_cue"", ""axis_value"": ""type:second"", ""description"": ""type ⇒ second"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_type_third_limited"", ""signal_type"": ""textual_cue"", ""axis_value"": ""type:third_limited"", ""description"": ""type ⇒ third_limited"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_type_third_omniscient"", ""signal_type"": ""textual_cue"", ""axis_value"": ""type:third_omniscient"", ""description"": ""type ⇒ third_omniscient"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_distance_close"", ""signal_type"": ""textual_cue"", ""axis_value"": ""distance:close"", ""description"": ""distance ⇒ close"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_distance_medium"", ""signal_type"": ""textual_cue"", ""axis_value"": ""distance:medium"", ""description"": ""distance ⇒ medium"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_distance_distant"", ""signal_type"": ""textual_cue"", ""axis_value"": ""distance:distant"", ""description"": ""distance ⇒ distant"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_reliability_reliable"", ""signal_type"": ""textual_cue"", ""axis_value"": ""reliability:reliable"", ""description"": ""reliability ⇒ reliable"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_reliability_unreliable"", ""signal_type"": ""textual_cue"", ""axis_value"": ""reliability:unreliable"", ""description"": ""reliability ⇒ unreliable"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_scope_single"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""scope:single"", ""description"": ""scope ⇒ single"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_scope_multiple"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""scope:multiple"", ""description"": ""scope ⇒ multiple"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_tense_past"", ""signal_type"": ""textual_cue"", ""axis_value"": ""tense:past"", ""description"": ""tense ⇒ past"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""signal_id"": ""sig_tense_present"", ""signal_type"": ""textual_cue"", ""axis_value"": ""tense:present"", ""description"": ""tense ⇒ present"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""misconception_id"": ""head_hopping"", ""description"": ""Switching POVs without clear signals"", ""tells"": """", ""likely_causes"": """", ""corrective_feedback"": """", ""micro_drill"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""misconception_id"": ""flat_voice"", ""description"": ""POV lacks distinct voice"", ""tells"": """", ""likely_causes"": """", ""corrective_feedback"": """", ""micro_drill"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""concept_id"": ""point_of_view"", ""misconception_id"": ""info_leak"", ""description"": ""Sharing knowledge the lens cannot have"", ""tells"": """", ""likely_causes"": """", ""corrective_feedback"": """", ""micro_drill"": """", ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""blueprint_id"": ""bp_pov_swap"", ""concept_id"": ""point_of_view"", ""cognitive_goal"": ""revise"", ""task_type"": ""transform"", ""prompt_template"": ""Rewrite a short scene in two POV types and two distances; note how information and intimacy change."", ""expected_features"": ""Clear shifts in access, tone, and control."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""type|distance|reliability|scope|tense"", ""difficulty"": 3, ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
label,"{""blueprint_id"": ""bp_pov_reliability"", ""concept_id"": ""point_of_view"", ""cognitive_goal"": ""analyze"", ""task_type"": ""classify"", ""prompt_template"": ""Label narrator reliability and cite two textual cues (contradictions, gaps, bias)."", ""expected_features"": ""Sound calls with evidence; no ‘dumb’ characters."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""type|distance|reliability|scope|tense"", ""difficulty"": 2, ""source_file"": ""Point of View.md"", ""source_md5"": ""b24031266c4cb203566bb177f339759f"", ""last_modified_iso"": ""2025-09-30T20:32:25.366447Z""}"
