table,data
label,"{""concept_id"": ""scene_enders"", ""concept_name"": ""Scene Enders"", ""set"": ""Narrative"", ""type"": ""element"", ""definition"": ""Closing beats that land emotion, hook, or transition while tying the scene to the larger arc."", ""axes"": ""ender_type|intensity|hook_strength|connection"", ""axis_values"": ""resolving|cliffhanger|reflective|transitional|gut_punch|poetic_fade|joke|quiet_collapse|door_slam|reversal|visual_echo | low|medium|high | soft|clear|urgent | plot|character|theme"", ""source_file"": ""Scene Enders.md"", ""source_md5"": ""9c6d5bdefa0889dbb41c1c9b5b1e92fd"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_enders"", ""signal_id"": ""sig_ender_type_resolving"", ""signal_type"": ""textual_cue"", ""axis_value"": ""ender_type:resolving"", ""description"": ""ender_type ⇒ resolving"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Enders.md"", ""source_md5"": ""9c6d5bdefa0889dbb41c1c9b5b1e92fd"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_enders"", ""signal_id"": ""sig_ender_type_cliffhanger"", ""signal_type"": ""textual_cue"", ""axis_value"": ""ender_type:cliffhanger"", ""description"": ""ender_type ⇒ cliffhanger"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Enders.md"", ""source_md5"": ""9c6d5bdefa0889dbb41c1c9b5b1e92fd"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_enders"", ""signal_id"": ""sig_ender_type_reflective"", ""signal_type"": ""textual_cue"", ""axis_value"": ""ender_type:reflective"", ""description"": ""ender_type ⇒ reflective"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Enders.md"", ""source_md5"": ""9c6d5bdefa0889dbb41c1c9b5b1e92fd"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_enders"", ""signal_id"": ""sig_ender_type_transitional"", ""signal_type"": ""textual_cue"", ""axis_value"": ""ender_type:transitional"", ""description"": ""ender_type ⇒ transitional"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Enders.md"", ""source_md5"": ""9c6d5bdefa0889dbb41c1c9b5b1e92fd"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_enders"", ""signal_id"": ""sig_ender_type_gut_punch"", ""signal_type"": ""textual_cue"", ""axis_value"": ""ender_type:gut_punch"", ""description"": ""ender_type ⇒ gut_punch"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Enders.md"", ""source_md5"": ""9c6d5bdefa0889dbb41c1c9b5b1e92fd"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_enders"", ""signal_id"": ""sig_ender_type_poetic_fade"", ""signal_type"": ""textual_cue"", ""axis_value"": ""ender_type:poetic_fade"", ""description"": ""ender_type ⇒ poetic_fade"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Enders.md"", ""source_md5"": ""9c6d5bdefa0889dbb41c1c9b5b1e92fd"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_enders"", ""signal_id"": ""sig_ender_type_joke"", ""signal_type"": ""textual_cue"", ""axis_value"": ""ender_type:joke"", ""description"": ""ender_type ⇒ joke"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Enders.md"", ""source_md5"": ""9c6d5bdefa0889dbb41c1c9b5b1e92fd"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_enders"", ""signal_id"": ""sig_ender_type_quiet_collapse"", ""signal_type"": ""textual_cue"", ""axis_value"": ""ender_type:quiet_collapse"", ""description"": ""ender_type ⇒ quiet_collapse"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Enders.md"", ""source_md5"": ""9c6d5bdefa0889dbb41c1c9b5b1e92fd"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_enders"", ""signal_id"": ""sig_ender_type_door_slam"", ""signal_type"": ""textual_cue"", ""axis_value"": ""ender_type:door_slam"", ""description"": ""ender_type ⇒ door_slam"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Enders.md"", ""source_md5"": ""9c6d5bdefa0889dbb41c1c9b5b1e92fd"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
