table,data
label,"{""concept_id"": ""bookends"", ""concept_name"": ""Scene Starters & Enders (Advanced)"", ""set"": ""Narrative"", ""type"": ""element"", ""definition"": ""Advanced openings and closings—the paired bookends that shape scene energy and momentum."", ""axes"": ""starter_type|ender_type|intensity"", ""axis_values"": ""in_media_res|description_heavy|dialogue_drop|static_image|inner_monologue|action_burst|no_context_start|anchor_and_disrupt|question_hook|one_line_scene|rewind_start | gut_punch|poetic_fade|joke|quiet_collapse|door_slam|reversal|visual_echo|resolving|cliffhanger|reflective|transitional | low|medium|high"", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_in_media_res"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:in_media_res"", ""description"": ""starter_type ⇒ in_media_res"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_description_heavy"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:description_heavy"", ""description"": ""starter_type ⇒ description_heavy"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_dialogue_drop"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:dialogue_drop"", ""description"": ""starter_type ⇒ dialogue_drop"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_static_image"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:static_image"", ""description"": ""starter_type ⇒ static_image"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_inner_monologue"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:inner_monologue"", ""description"": ""starter_type ⇒ inner_monologue"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_action_burst"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:action_burst"", ""description"": ""starter_type ⇒ action_burst"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_no_context_start"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:no_context_start"", ""description"": ""starter_type ⇒ no_context_start"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_anchor_and_disrupt"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:anchor_and_disrupt"", ""description"": ""starter_type ⇒ anchor_and_disrupt"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_question_hook"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:question_hook"", ""description"": ""starter_type ⇒ question_hook"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_one_line_scene"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:one_line_scene"", ""description"": ""starter_type ⇒ one_line_scene"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_starter_type_rewind_start"", ""signal_type"": ""textual_cue"", ""axis_value"": ""starter_type:rewind_start"", ""description"": ""starter_type ⇒ rewind_start"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""bookends"", ""signal_id"": ""sig_ender_type_gut_punch"", ""signal_type"": ""textual_cue"", ""axis_value"": ""ender_type:gut_punch"", ""description"": ""ender_type ⇒ gut_punch"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Starters and Enders part 1.5.md"", ""source_md5"": ""199533ee20d9c5c7a81ed793b9c286d7"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
