table,data
label,"{""concept_id"": ""scene_transitions"", ""concept_name"": ""Scene Transitions"", ""set"": ""Narrative"", ""type"": ""element"", ""definition"": ""Micro-techniques that bridge scenes while carrying pacing and emotion."", ""axes"": ""transition_type|pacing|seam|device"", ""axis_values"": ""temporal|spatial|thematic|perspective | quick|moderate|lingering | smooth|sharp | match_cut|echo_image|time_stamp|hard_cut|object_link|sound_bridge"", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_transition_type_temporal"", ""signal_type"": ""textual_cue"", ""axis_value"": ""transition_type:temporal"", ""description"": ""transition_type ⇒ temporal"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_transition_type_spatial"", ""signal_type"": ""textual_cue"", ""axis_value"": ""transition_type:spatial"", ""description"": ""transition_type ⇒ spatial"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_transition_type_thematic"", ""signal_type"": ""textual_cue"", ""axis_value"": ""transition_type:thematic"", ""description"": ""transition_type ⇒ thematic"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_transition_type_perspective"", ""signal_type"": ""textual_cue"", ""axis_value"": ""transition_type:perspective"", ""description"": ""transition_type ⇒ perspective"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_pacing_quick"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""pacing:quick"", ""description"": ""pacing ⇒ quick"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_pacing_moderate"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""pacing:moderate"", ""description"": ""pacing ⇒ moderate"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_pacing_lingering"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""pacing:lingering"", ""description"": ""pacing ⇒ lingering"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_seam_smooth"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""seam:smooth"", ""description"": ""seam ⇒ smooth"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_seam_sharp"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""seam:sharp"", ""description"": ""seam ⇒ sharp"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_device_match_cut"", ""signal_type"": ""textual_cue"", ""axis_value"": ""device:match_cut"", ""description"": ""device ⇒ match_cut"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_device_echo_image"", ""signal_type"": ""textual_cue"", ""axis_value"": ""device:echo_image"", ""description"": ""device ⇒ echo_image"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_device_time_stamp"", ""signal_type"": ""textual_cue"", ""axis_value"": ""device:time_stamp"", ""description"": ""device ⇒ time_stamp"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_device_hard_cut"", ""signal_type"": ""textual_cue"", ""axis_value"": ""device:hard_cut"", ""description"": ""device ⇒ hard_cut"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_device_object_link"", ""signal_type"": ""textual_cue"", ""axis_value"": ""device:object_link"", ""description"": ""device ⇒ object_link"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scene_transitions"", ""signal_id"": ""sig_device_sound_bridge"", ""signal_type"": ""textual_cue"", ""axis_value"": ""device:sound_bridge"", ""description"": ""device ⇒ sound_bridge"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""blueprint_id"": ""bp_transition_builder"", ""concept_id"": ""scene_transitions"", ""cognitive_goal"": ""design"", ""task_type"": ""compose"", ""prompt_template"": ""Draft temporal, spatial, and thematic transition lines between the same two scenes; choose the smoothest."", ""expected_features"": ""Clear orientation + emotional carryover."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""transition_type|pacing|seam|device"", ""difficulty"": 2, ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""blueprint_id"": ""bp_transition_fix"", ""concept_id"": ""scene_transitions"", ""cognitive_goal"": ""revise"", ""task_type"": ""spot_fix"", ""prompt_template"": ""Repair a jarring jump using a device (match_cut/echo_image/time_stamp)."", ""expected_features"": ""Flow improves; purpose intact."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""transition_type|pacing|seam|device"", ""difficulty"": 2, ""source_file"": ""Scene Transitions.md"", ""source_md5"": ""00d68f9a5e92b78ee62b6e4205680c1a"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
