table,data
label,"{""concept_id"": ""scenes_to_chapters"", ""concept_name"": ""Scenes → Chapters"", ""set"": ""Narrative"", ""type"": ""element"", ""definition"": ""Designing chapters from scenes using cause-effect, escalation, and pivotal shifts."", ""axes"": ""chapter_archetype|cause_effect_chain|emotional_escalation|pivot_present"", ""axis_values"": ""ticking_clock|spiral|convergence|false_victory|hidden_connection | weak|moderate|strong | low|medium|high | no|yes"", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_chapter_archetype_ticking_clock"", ""signal_type"": ""textual_cue"", ""axis_value"": ""chapter_archetype:ticking_clock"", ""description"": ""chapter_archetype ⇒ ticking_clock"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_chapter_archetype_spiral"", ""signal_type"": ""textual_cue"", ""axis_value"": ""chapter_archetype:spiral"", ""description"": ""chapter_archetype ⇒ spiral"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_chapter_archetype_convergence"", ""signal_type"": ""textual_cue"", ""axis_value"": ""chapter_archetype:convergence"", ""description"": ""chapter_archetype ⇒ convergence"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_chapter_archetype_false_victory"", ""signal_type"": ""textual_cue"", ""axis_value"": ""chapter_archetype:false_victory"", ""description"": ""chapter_archetype ⇒ false_victory"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_chapter_archetype_hidden_connection"", ""signal_type"": ""textual_cue"", ""axis_value"": ""chapter_archetype:hidden_connection"", ""description"": ""chapter_archetype ⇒ hidden_connection"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_cause_effect_chain_weak"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""cause_effect_chain:weak"", ""description"": ""cause_effect_chain ⇒ weak"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_cause_effect_chain_moderate"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""cause_effect_chain:moderate"", ""description"": ""cause_effect_chain ⇒ moderate"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_cause_effect_chain_strong"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""cause_effect_chain:strong"", ""description"": ""cause_effect_chain ⇒ strong"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_emotional_escalation_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""emotional_escalation:low"", ""description"": ""emotional_escalation ⇒ low"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_emotional_escalation_medium"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""emotional_escalation:medium"", ""description"": ""emotional_escalation ⇒ medium"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_emotional_escalation_high"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""emotional_escalation:high"", ""description"": ""emotional_escalation ⇒ high"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_pivot_present_no"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""pivot_present:no"", ""description"": ""pivot_present ⇒ no"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""concept_id"": ""scenes_to_chapters"", ""signal_id"": ""sig_pivot_present_yes"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""pivot_present:yes"", ""description"": ""pivot_present ⇒ yes"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
label,"{""blueprint_id"": ""bp_chapter_map"", ""concept_id"": ""scenes_to_chapters"", ""cognitive_goal"": ""analyze"", ""task_type"": ""order"", ""prompt_template"": ""Map a chapter: list scenes with therefore/but links, mark escalation, and identify the pivot."", ""expected_features"": ""Causal chain + clear pivot."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""chapter_archetype|cause_effect_chain|emotional_escalation|pivot_present"", ""difficulty"": 2, ""source_file"": ""Scenes build Chapters.md"", ""source_md5"": ""cfcd31eaa627895cc9292d7228daaed5"", ""last_modified_iso"": ""2025-09-30T20:40:10.581822Z""}"
