table,data
label,"{""concept_id"": ""subject"", ""concept_name"": ""Subject"", ""set"": ""Grammar & Punctuation"", ""type"": ""element"", ""definition"": ""Anchor of aboutness in a clause; controls verb choice, focus, and reader attention."", ""axes"": ""visibility|complexity|position|specificity|person|number|focus_choice"", ""axis_values"": ""explicit|implied | simple|compound|clausal | initial|inverted | generic|specific|hyper_specific | first|second|third | singular|plural | agent|patient"", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_visibility_explicit"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""visibility:explicit"", ""description"": ""visibility ⇒ explicit"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_visibility_implied"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""visibility:implied"", ""description"": ""visibility ⇒ implied"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_complexity_simple"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""complexity:simple"", ""description"": ""complexity ⇒ simple"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_complexity_compound"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""complexity:compound"", ""description"": ""complexity ⇒ compound"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_complexity_clausal"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""complexity:clausal"", ""description"": ""complexity ⇒ clausal"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_position_initial"", ""signal_type"": ""textual_cue"", ""axis_value"": ""position:initial"", ""description"": ""position ⇒ initial"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_position_inverted"", ""signal_type"": ""textual_cue"", ""axis_value"": ""position:inverted"", ""description"": ""position ⇒ inverted"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_specificity_generic"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""specificity:generic"", ""description"": ""specificity ⇒ generic"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_specificity_specific"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""specificity:specific"", ""description"": ""specificity ⇒ specific"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_specificity_hyper_specific"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""specificity:hyper_specific"", ""description"": ""specificity ⇒ hyper_specific"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_person_first"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""person:first"", ""description"": ""person ⇒ first"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_person_second"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""person:second"", ""description"": ""person ⇒ second"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_person_third"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""person:third"", ""description"": ""person ⇒ third"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_number_singular"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""number:singular"", ""description"": ""number ⇒ singular"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_number_plural"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""number:plural"", ""description"": ""number ⇒ plural"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_focus_choice_agent"", ""signal_type"": ""textual_cue"", ""axis_value"": ""focus_choice:agent"", ""description"": ""focus_choice ⇒ agent"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""subject"", ""signal_id"": ""sig_focus_choice_patient"", ""signal_type"": ""textual_cue"", ""axis_value"": ""focus_choice:patient"", ""description"": ""focus_choice ⇒ patient"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Subject.md"", ""source_md5"": ""5ad0514565688c5371a36f709f28a8ea"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
