table,data
label,"{""concept_id"": ""symbolism"", ""concept_name"": ""Symbolism"", ""set"": ""Narrative"", ""type"": ""element"", ""definition"": ""Layered meaning assigned to story elements that enriches theme and emotion without transforming their nature."", ""axes"": ""carrier|clarity|evolution|recurrence|emotional_resonance"", ""axis_values"": ""object|character|setting|action|motif | subtle|balanced|overt | static|evolving | once|recurring | low|medium|high"", ""source_file"": ""Symbolism.md"", ""source_md5"": ""e114aeda34470605f9e8ff8c320949c3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""symbolism"", ""signal_id"": ""sig_carrier_object"", ""signal_type"": ""textual_cue"", ""axis_value"": ""carrier:object"", ""description"": ""carrier ⇒ object"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Symbolism.md"", ""source_md5"": ""e114aeda34470605f9e8ff8c320949c3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""symbolism"", ""signal_id"": ""sig_carrier_character"", ""signal_type"": ""textual_cue"", ""axis_value"": ""carrier:character"", ""description"": ""carrier ⇒ character"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Symbolism.md"", ""source_md5"": ""e114aeda34470605f9e8ff8c320949c3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""symbolism"", ""signal_id"": ""sig_carrier_setting"", ""signal_type"": ""textual_cue"", ""axis_value"": ""carrier:setting"", ""description"": ""carrier ⇒ setting"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Symbolism.md"", ""source_md5"": ""e114aeda34470605f9e8ff8c320949c3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""symbolism"", ""signal_id"": ""sig_carrier_action"", ""signal_type"": ""textual_cue"", ""axis_value"": ""carrier:action"", ""description"": ""carrier ⇒ action"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Symbolism.md"", ""source_md5"": ""e114aeda34470605f9e8ff8c320949c3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""symbolism"", ""signal_id"": ""sig_carrier_motif"", ""signal_type"": ""textual_cue"", ""axis_value"": ""carrier:motif"", ""description"": ""carrier ⇒ motif"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Symbolism.md"", ""source_md5"": ""e114aeda34470605f9e8ff8c320949c3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""symbolism"", ""signal_id"": ""sig_clarity_subtle"", ""signal_type"": ""textual_cue"", ""axis_value"": ""clarity:subtle"", ""description"": ""clarity ⇒ subtle"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Symbolism.md"", ""source_md5"": ""e114aeda34470605f9e8ff8c320949c3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""symbolism"", ""signal_id"": ""sig_clarity_balanced"", ""signal_type"": ""textual_cue"", ""axis_value"": ""clarity:balanced"", ""description"": ""clarity ⇒ balanced"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Symbolism.md"", ""source_md5"": ""e114aeda34470605f9e8ff8c320949c3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""symbolism"", ""signal_id"": ""sig_clarity_overt"", ""signal_type"": ""textual_cue"", ""axis_value"": ""clarity:overt"", ""description"": ""clarity ⇒ overt"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Symbolism.md"", ""source_md5"": ""e114aeda34470605f9e8ff8c320949c3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""symbolism"", ""signal_id"": ""sig_evolution_static"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""evolution:static"", ""description"": ""evolution ⇒ static"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Symbolism.md"", ""source_md5"": ""e114aeda34470605f9e8ff8c320949c3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
