table,data
label,"{""concept_id"": ""villain"", ""concept_name"": ""Villain"", ""set"": ""Narrative"", ""type"": ""element"", ""definition"": ""Oppositional force—person, system, storm, secret—that resists the hero’s spark and raises cost."", ""axes"": ""opposition_mode|agency|visibility|escalation|win_state"", ""axis_values"": ""block|corrupt|destroy|delay|tempt | intentional|systemic|natural_force|accidental | overt|covert|ambient | rising|steady|flicker | wins|stalemate|loses"", ""source_file"": ""The Villian.md"", ""source_md5"": ""da9c754da4274fe8e4629619d54615bb"", ""last_modified_iso"": ""2025-09-30T21:03:19.008149Z""}"
label,"{""concept_id"": ""villain"", ""signal_id"": ""sig_opposition_mode_block"", ""signal_type"": ""textual_cue"", ""axis_value"": ""opposition_mode:block"", ""description"": ""opposition_mode ⇒ block"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""The Villian.md"", ""source_md5"": ""da9c754da4274fe8e4629619d54615bb"", ""last_modified_iso"": ""2025-09-30T21:03:19.008149Z""}"
label,"{""concept_id"": ""villain"", ""signal_id"": ""sig_opposition_mode_corrupt"", ""signal_type"": ""textual_cue"", ""axis_value"": ""opposition_mode:corrupt"", ""description"": ""opposition_mode ⇒ corrupt"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""The Villian.md"", ""source_md5"": ""da9c754da4274fe8e4629619d54615bb"", ""last_modified_iso"": ""2025-09-30T21:03:19.008149Z""}"
label,"{""concept_id"": ""villain"", ""signal_id"": ""sig_opposition_mode_destroy"", ""signal_type"": ""textual_cue"", ""axis_value"": ""opposition_mode:destroy"", ""description"": ""opposition_mode ⇒ destroy"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""The Villian.md"", ""source_md5"": ""da9c754da4274fe8e4629619d54615bb"", ""last_modified_iso"": ""2025-09-30T21:03:19.008149Z""}"
label,"{""concept_id"": ""villain"", ""signal_id"": ""sig_opposition_mode_delay"", ""signal_type"": ""textual_cue"", ""axis_value"": ""opposition_mode:delay"", ""description"": ""opposition_mode ⇒ delay"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""The Villian.md"", ""source_md5"": ""da9c754da4274fe8e4629619d54615bb"", ""last_modified_iso"": ""2025-09-30T21:03:19.008149Z""}"
label,"{""concept_id"": ""villain"", ""signal_id"": ""sig_opposition_mode_tempt"", ""signal_type"": ""textual_cue"", ""axis_value"": ""opposition_mode:tempt"", ""description"": ""opposition_mode ⇒ tempt"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""The Villian.md"", ""source_md5"": ""da9c754da4274fe8e4629619d54615bb"", ""last_modified_iso"": ""2025-09-30T21:03:19.008149Z""}"
label,"{""concept_id"": ""villain"", ""signal_id"": ""sig_agency_intentional"", ""signal_type"": ""textual_cue"", ""axis_value"": ""agency:intentional"", ""description"": ""agency ⇒ intentional"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""The Villian.md"", ""source_md5"": ""da9c754da4274fe8e4629619d54615bb"", ""last_modified_iso"": ""2025-09-30T21:03:19.008149Z""}"
label,"{""concept_id"": ""villain"", ""signal_id"": ""sig_agency_systemic"", ""signal_type"": ""textual_cue"", ""axis_value"": ""agency:systemic"", ""description"": ""agency ⇒ systemic"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""The Villian.md"", ""source_md5"": ""da9c754da4274fe8e4629619d54615bb"", ""last_modified_iso"": ""2025-09-30T21:03:19.008149Z""}"
label,"{""concept_id"": ""villain"", ""signal_id"": ""sig_agency_natural_force"", ""signal_type"": ""textual_cue"", ""axis_value"": ""agency:natural_force"", ""description"": ""agency ⇒ natural_force"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""The Villian.md"", ""source_md5"": ""da9c754da4274fe8e4629619d54615bb"", ""last_modified_iso"": ""2025-09-30T21:03:19.008149Z""}"
label,"{""concept_id"": ""villain"", ""signal_id"": ""sig_agency_accidental"", ""signal_type"": ""textual_cue"", ""axis_value"": ""agency:accidental"", ""description"": ""agency ⇒ accidental"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""The Villian.md"", ""source_md5"": ""da9c754da4274fe8e4629619d54615bb"", ""last_modified_iso"": ""2025-09-30T21:03:19.008149Z""}"
