table,data
concept_nodes,"{""concept_id"": ""action"", ""concept_name"": ""Action"", ""type"": ""element"", ""definition"": ""Action"", ""scope_notes"": ""Use to change state, reposition characters, or deliver consequence; keep only beats that matter."", ""axes"": ""strength_level"", ""axis_values"": ""1|2|3"", ""prerequisites"": """", ""pairs_well_with"": ""pacing|tension|POV"", ""conflicts_with"": ""over-choreography|random_filler"", ""positive_examples_ref"": ""ex_action_*"", ""non_examples_ref"": ""ex_action_weak_*"", ""source_md5"": ""cafe882c0816112ceb5cb8a4cc0df2f7"", ""last_modified_iso"": ""2025-09-30T16:33:07.044490Z""}"
evidence_signals,"{""concept_id"": ""action"", ""signal_id"": ""sig_l1_micro"", ""signal_type"": ""textual_cue"", ""axis_value"": ""1"", ""description"": ""Micro-movements/idles that color a moment; usually no goal or change."", ""detection_hint"": ""verbs: fidget, glance, adjust, sip"", ""false_positive_risks"": ""decorative gesture mistaken for meaningful beat"", ""minimal_example"": ""She adjusts her sleeve, eyes on the menu."", ""counterexample"": ""She elbows the fire alarm; sprinklers erupt."", ""source_md5"": ""cafe882c0816112ceb5cb8a4cc0df2f7"", ""last_modified_iso"": ""2025-09-30T16:33:07.044490Z""}"
evidence_signals,"{""concept_id"": ""action"", ""signal_id"": ""sig_l2_purpose"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""2"", ""description"": ""Sustained, goal-driven movement through space/obstacles."", ""detection_hint"": ""goal verb + path verbs + environment nouns"", ""false_positive_risks"": ""over-described path without purpose"", ""minimal_example"": ""He shoulders through the crowd toward the door."", ""counterexample"": ""He lists every hallway turn with no reason."", ""source_md5"": ""cafe882c0816112ceb5cb8a4cc0df2f7"", ""last_modified_iso"": ""2025-09-30T16:33:07.044490Z""}"
evidence_signals,"{""concept_id"": ""action"", ""signal_id"": ""sig_l3_impact"", ""signal_type"": ""outcome_change"", ""axis_value"": ""3"", ""description"": ""Explosive or decisive action that changes the situation immediately."", ""detection_hint"": ""impact verbs + object state change"", ""false_positive_risks"": ""high-energy verbs with zero consequence"", ""minimal_example"": ""She kicks the chair; it splinters and blocks the exit."", ""counterexample"": ""She ‘attacks’ but nothing in the scene changes."", ""source_md5"": ""cafe882c0816112ceb5cb8a4cc0df2f7"", ""last_modified_iso"": ""2025-09-30T16:33:07.044490Z""}"
misconceptions,"{""concept_id"": ""action"", ""misconception_id"": ""over_choreo"", ""description"": ""Over-choreography slows pace by enumerating limbs and micro-moves."", ""tells"": ""long verb chains; spatial micromanagement; no state change"", ""likely_causes"": ""fear of reader confusion; screenplay habit"", ""corrective_feedback"": ""Compress to decisive beats that change state; let the reader infer connective tissue."", ""micro_drill"": ""Reduce any 5-step action into 2 state-changing beats."", ""source_md5"": ""cafe882c0816112ceb5cb8a4cc0df2f7"", ""last_modified_iso"": ""2025-09-30T16:33:07.044490Z""}"
misconceptions,"{""concept_id"": ""action"", ""misconception_id"": ""impactless_blast"", ""description"": ""High-energy verbs with no consequence (fake Level 3)."", ""tells"": ""dramatic motion but scene unchanged"", ""likely_causes"": ""confusing ‘intensity’ with ‘impact’"", ""corrective_feedback"": ""Force an irreversible outcome: broken object, blocked path, injury, escape."", ""micro_drill"": ""Rewrite the last sentence so the environment or power balance is different."", ""source_md5"": ""cafe882c0816112ceb5cb8a4cc0df2f7"", ""last_modified_iso"": ""2025-09-30T16:33:07.044490Z""}"
misconceptions,"{""concept_id"": ""action"", ""misconception_id"": ""doc_1"", ""description"": ""Avoid chaining too many Level 3 beats in a row—this creates fatigue and flattens impact. Break up with Level 2 or Level 1 to let the reader breathe."", ""tells"": """", ""likely_causes"": """", ""corrective_feedback"": ""Tighten to consequential beats."", ""micro_drill"": ""Replace 2 gestures with 1 outcome beat."", ""source_md5"": ""cafe882c0816112ceb5cb8a4cc0df2f7"", ""last_modified_iso"": ""2025-09-30T16:33:07.044490Z""}"
task_blueprints,"{""blueprint_id"": ""bp_action_identify_level"", ""concept_id"": ""action"", ""cognitive_goal"": ""identify"", ""task_type"": ""classify"", ""prompt_template"": ""Label the action beats in the passage as Level 1 (micro), Level 2 (purpose), or Level 3 (impact) and justify each label."", ""expected_features"": ""Each labeled beat cites a signal; Level 3 includes outcome change"", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": ""{\""Exceeds\"": \""Accurate labels + precise signals + outcome proof for L3\"", \""Meets\"": \""Mostly accurate with minor justifications\"", \""Developing\"": \""Labels or justifications weak/missing\""}"", ""distractor_strategy"": ""Use over-choreo or fake-impact distractors"", ""hint_steps"": ""1) Look for goal words 2) Scan for obstacle words 3) Confirm state change"", ""variation_axes"": ""setting|POV|stakes"", ""difficulty"": ""2"", ""source_md5"": ""cafe882c0816112ceb5cb8a4cc0df2f7"", ""last_modified_iso"": ""2025-09-30T16:33:07.044490Z""}"
task_blueprints,"{""blueprint_id"": ""bp_action_escalate_rewrite"", ""concept_id"": ""action"", ""cognitive_goal"": ""revise"", ""task_type"": ""transform"", ""prompt_template"": ""Take this Level 1 beat and escalate to Level 2, then Level 3, keeping the same setting and character goal consistent."", ""expected_features"": ""L2 shows purposeful movement; L3 produces irreversible consequence"", ""scoring_method"": ""count_features|rubric"", ""rubric_levels"": ""{\""Exceeds\"": \""Clear goal\\u2192obstacle\\u2192impact chain\"", \""Meets\"": \""Goal and impact present\"", \""Developing\"": \""Missing goal or consequence\""}"", ""distractor_strategy"": ""Offer a tempting flourish that lacks consequence"", ""hint_steps"": ""1) State the goal 2) Introduce resistance 3) Force a change"", ""variation_axes"": ""stakes|time_pressure"", ""difficulty"": ""3"", ""source_md5"": ""cafe882c0816112ceb5cb8a4cc0df2f7"", ""last_modified_iso"": ""2025-09-30T16:33:07.044490Z""}"
task_blueprints,"{""blueprint_id"": ""bp_action_diagnose_fix"", ""concept_id"": ""action"", ""cognitive_goal"": ""diagnose"", ""task_type"": ""spot_fix"", ""prompt_template"": ""This action paragraph reads muddy. Replace two gestures with decisive beats that change the situation."", ""expected_features"": ""Concise beats; concrete verbs; environment/power shift"", ""scoring_method"": ""rubric"", ""rubric_levels"": ""{\""Exceeds\"": \""Both replacements create clear state change\"", \""Meets\"": \""One creates change\"", \""Developing\"": \""No tangible difference\""}"", ""distractor_strategy"": ""Insert empty flash to mislead"", ""hint_steps"": ""1) Underline verbs 2) Circle nouns that change 3) Cut the rest"", ""variation_axes"": ""verbosity|line_length"", ""difficulty"": ""2"", ""source_md5"": ""cafe882c0816112ceb5cb8a4cc0df2f7"", ""last_modified_iso"": ""2025-09-30T16:33:07.044490Z""}"
