order,grammer,character,story guts,structure,comedy,title,room,level,type,prereq,weight,_room_rank,_lvl_rank,_w_rank
1,Object,,,,,,,,,,,9999.0,9999,50.0
2,,description,,,,,,,,,,9999.0,9999,50.0
3,noun,,,,,,,,,,,9999.0,9999,50.0
4,,Motivation,,,,,,,,,,9999.0,9999,50.0
5,verb,,,,,,,,,,,9999.0,9999,50.0
6,,Body Logic,,,,,,,,,,9999.0,9999,50.0
7,subject,,,,,,,,,,,9999.0,9999,50.0
8,,backstory,,,,,,,,,,9999.0,9999,50.0
9,period,,,,,,,,,,,9999.0,9999,50.0
10,,identity,,,,,,,,,,9999.0,9999,50.0
11,comma,,,,,,,,,,,9999.0,9999,50.0
12,,voice,,,,,,,,,,9999.0,9999,50.0
13,adjective,,,,,,,,,,,9999.0,9999,50.0
14,,decision style,,,,,,,,,,9999.0,9999,50.0
15,dash,,,,,,,,,,,9999.0,9999,50.0
16,,flaw,,,,,,,,,,9999.0,9999,50.0
17,pronoun,,,,,,,,,,,9999.0,9999,50.0
18,,hero,,,,,,,,,,9999.0,9999,50.0
19,colon,,,,,,,,,,,9999.0,9999,50.0
20,,mentor,,,,,,,,,,9999.0,9999,50.0
21,adverb,,,,,,,,,,,9999.0,9999,50.0
22,,foil,,,,,,,,,,9999.0,9999,50.0
23,semi colon,,,,,,,,,,,9999.0,9999,50.0
24,,archetypal,,,,,,,,,,9999.0,9999,50.0
25,ellipsis,,,,,,,,,,,9999.0,9999,50.0
26,,sidekick,,,,,,,,,,9999.0,9999,50.0
27,dialogue,,,,,,,,,,,9999.0,9999,50.0
28,,villain,,,,,,,,,,9999.0,9999,50.0
29,,,story fund.,,,,,,,,,9999.0,9999,50.0
30,,,setting,,,,,,,,,9999.0,9999,50.0
31,,,change,,,,,,,,,9999.0,9999,50.0
32,,,desire,,,,,,,,,9999.0,9999,50.0
33,,,conflict,,,,,,,,,9999.0,9999,50.0
34,,,stakes,,,,,,,,,9999.0,9999,50.0
35,,,outcome,,,,,,,,,9999.0,9999,50.0
36,,,action,,,,,,,,,9999.0,9999,50.0
37,,,exposition,,,,,,,,,9999.0,9999,50.0
38,,,sensory description,,,,,,,,,9999.0,9999,50.0
39,,role dynamics,,,,,,,,,,9999.0,9999,50.0
40,,interactions ect,,,,,,,,,,9999.0,9999,50.0
41,,,pov,,,,,,,,,9999.0,9999,50.0
42,,,scenes,,,,,,,,,9999.0,9999,50.0
43,,,short stories,,,,,,,,,9999.0,9999,50.0
44,,,subplot,,,,,,,,,9999.0,9999,50.0
45,,,3 act structure,,,,,,,,,9999.0,9999,50.0
46,,,planting and payoff,,,,,,,,,9999.0,9999,50.0
47,,round,,,,,,,,,,9999.0,9999,50.0
48,,static,,,,,,,,,,9999.0,9999,50.0
49,,dynamic,,,,,,,,,,9999.0,9999,50.0
50,,flat,,,,,,,,,,9999.0,9999,50.0
51,,arcs,,,,,,,,,,9999.0,9999,50.0
52,,positive arc,,,,,,,,,,9999.0,9999,50.0
53,,negative arc,,,,,,,,,,9999.0,9999,50.0
54,,flat arc,,,,,,,,,,9999.0,9999,50.0
55,,,pacing,,,,,,,,,9999.0,9999,50.0
56,,,mood,,,,,,,,,9999.0,9999,50.0
57,,,tone,,,,,,,,,9999.0,9999,50.0
58,,,theme,,,,,,,,,9999.0,9999,50.0
59,,,,,,,,,,,,9999.0,9999,50.0
60,,,,,,,,,,,,9999.0,9999,50.0
61,this is for each level,,,,,,,,,,,9999.0,9999,50.0
62,intermidiate,,,,,,,,,,,9999.0,9999,50.0
63,,,,,,,,,,,,9999.0,9999,50.0
64,clause,,,,,,,,,,,9999.0,9999,50.0
65,,,metaphore,,,,,,,,,9999.0,9999,50.0
66,prepositions,,,,,,,,,,,9999.0,9999,50.0
67,,,language and delivery,,,,,,,,,9999.0,9999,50.0
68,phrase,,,,,,,,,,,9999.0,9999,50.0
69,,,Narration ,,,,,,,,,9999.0,9999,50.0
70,prepositional ph.,,,,,,,,,,,9999.0,9999,50.0
71,,,narrative devices,,,,,,,,,9999.0,9999,50.0
72,sub. clause,,,,,,,,,,,9999.0,9999,50.0
73,,,voice,,,,,,,,,9999.0,9999,50.0
74,absolute phrases,,,,,,,,,,,9999.0,9999,50.0
75,,,manipulators,,,,,,,,,9999.0,9999,50.0
76,independant clause,,,,,,,,,,,9999.0,9999,50.0
77,,,repetition,,,,,,,,,9999.0,9999,50.0
78,interjections,,,,,,,,,,,9999.0,9999,50.0
79,,,subtext,,,,,,,,,9999.0,9999,50.0
80,sentence types,,,,,,,,,,,9999.0,9999,50.0
81,,,suspense,,,,,,,,,9999.0,9999,50.0
82,conjunction types,,,,,,,,,,,9999.0,9999,50.0
83,,,symbolism,,,,,,,,,9999.0,9999,50.0
84,inter. sentences,,,,,,,,,,,9999.0,9999,50.0
85,,,time bomb,,,,,,,,,9999.0,9999,50.0
86,cumulative sent.,,,,,,,,,,,9999.0,9999,50.0
87,,,motif,,,,,,,,,9999.0,9999,50.0
88,periodic sent.,,,,,,,,,,,9999.0,9999,50.0
89,,,,,,,,,,,,9999.0,9999,50.0
90,,,,,,,,,,,,9999.0,9999,50.0
91,,,,,hyper literalism,,,,,,,9999.0,9999,50.0
92,,,,,incongruity,,,,,,,9999.0,9999,50.0
93,,,,,in. honesty,,,,,,,9999.0,9999,50.0
94,,,,,malaproposim,,,,,,,9999.0,9999,50.0
95,,,,,misdirection,,,,,,,9999.0,9999,50.0
96,,,,,misdirection,,,,,,,9999.0,9999,50.0
97,,,,,naive outsider,,,,,,,9999.0,9999,50.0
98,,,,,non sequitor,,,,,,,9999.0,9999,50.0
99,,,,,object as partner,,,,,,,9999.0,9999,50.0
100,,,,,word salad,,,,,,,9999.0,9999,50.0
101,,,,,over reaction,,,,,,,9999.0,9999,50.0
102,,,,,over confidence,,,,,,,9999.0,9999,50.0
103,,,,,parody,,,,,,,9999.0,9999,50.0
104,,,,,puns,,,,,,,9999.0,9999,50.0
105,,,,,red herring,,,,,,,9999.0,9999,50.0
106,,,,,repetition,,,,,,,9999.0,9999,50.0
107,,,,,rule of three,,,,,,,9999.0,9999,50.0
108,,,,,scale mismatch,,,,,,,9999.0,9999,50.0
109,,,,,over precise actions,,,,,,,9999.0,9999,50.0
110,,,,,static character,,,,,,,9999.0,9999,50.0
111,,,,,silent misunderstanding,,,,,,,9999.0,9999,50.0
112,,,,,tags,,,,,,,9999.0,9999,50.0
113,,,,,running gags,,,,,,,9999.0,9999,50.0
114,,,,,timing elasticity,,,,,,,9999.0,9999,50.0
115,,,,,unwitting irony,,,,,,,9999.0,9999,50.0
116,,,,,clashing agendas,,,,,,,9999.0,9999,50.0
