new_id,original_id,type,title,lesson_tags,beat_tags,introduces_beats,introduces_any,has_prompts,text,primary_beat
1,100,prompt,You could be a hood genius. You could write incredible stories,,,,False,True,"You could be a hood genius. You could write incredible stories

Literary Deviousness is about learning the literary devices and doing with them whatever the fuck we want. 

 Let’s hijack language and tell our stories, our way.


 Before we start: why are you here? What’s the story you wish somebody would tell—but nobody does?
 Dump out your reasons for writing. All of them. Rage, hunger, ambition, spite, whatever.",
2,101,mixed,Stories are made of a lot of different parts.,money/class;voice/style,,,False,True,"Stories are made of a lot of different parts.
 
If you learn those parts without anyone telling you what you should do with them—or how to make everybody like it—you can build stories in ways nobody else ever thought of.
That’s why writing is a system. Every single thing you learn here is fuel. It’s so you can talk all that shit and make damn sure everyone knows exactly what you mean.
These games assume you want to write fiction—short stories, novels, whatever. So the system covers the whole spread: grammar, narrative structure, character, and a shit-load of literary devices.
And the first place we’re stopping?
 Grammar and Character.
 
 
 The bones and the blood.

 Think about yourself as a reader or a writer—what do you care about most right now?
The words themselves (grammar, rhythm, sound).


The people in the story (characters).


The shape of it all (structure).



Write
Freewriting Zone: Write a messy paragraph about why that part matters to you, or why you think it doesn’t. Don’t hold back.",
3,103,prompt,you wouldnt believe how much of writing isn't sitting down and putting words on a page.,money/class;process,shift,,False,True,"you wouldnt believe how much of writing isn't sitting down and putting words on a page.

a lot of it is reading, research, and editing.

the most important thing for now is to know that you can't write and edit at the same time. Don't spend your time secong guessing yourself-you'll end up just not writing until you come up with something you dont have to edit as much. its just not how writing works and it will make you miserable.
At this point, just write it all out. Then go do something else so you can take a breath and shift your perspective.
then you come back and see if you even agree with what you put down first and if there are any obvious mistakes. 
Then you go back and see if what you have on the page is working the way  you want to.

prompt:

Write a few paragraphs on your favorite writers and why they are your favorite.

Then walk away, come back, edit, and write it again.",shift
4,104,prompt,"Nobody writes in a vacuum. You carry voices, songs, movies, books, and people inside you.",voice/style,,,False,True,"Nobody writes in a vacuum. You carry voices, songs, movies, books, and people inside you.
Maybe it’s a rapper’s verse that made you feel alive.
 Maybe it’s a movie that scarred you.
 Maybe it’s your grandma’s voice, always in the back of your head.
Those are your influences. They’re not there to copy. They’re there to fuel you.
Inspiration isn’t about waiting for lightning to strike. It’s about digging into what already moves you—and using that as raw material.

 What’s the thing that won’t leave you alone? A song, a quote, a character, a moment?

 List 10 things that have influenced or inspired you. Music, books, films, people, places, even a smell.",
5,105,mixed,The page doesn’t want brilliance. It doesn’t want polish. It doesn’t want you to prove a…,process,,,False,True,"The page doesn’t want brilliance. It doesn’t want polish. It doesn’t want you to prove anything.
The page wants connection. Just like you.
It’ll take your tantrums, your sideways starts, your scribbles that look like a crime scene. It’ll hold your mess, your revisions, your wrong turns.
The page is not a gatekeeper. It’s a container.
 Not your audience. Not your teacher. Not your judge.
It’s your scene partner. Your invisible friend. The one that says:
 “Whatever you’ve got—put it here. I’ll hold it. Let’s find out what it is.”


The page really is commited to you- it's not leaving. It's not the one who gets frustrated and walks away. So if you wanna go hard- *you* commit as well. 

Do what you came to the page to do, and dont leave until its done.

Done is better than perfect, and perfect is bullshit. 

Every writer who ever inspired any of us stayed long enough at the page to put their heart into words.
and we all love them for that. 

You never know, you could fuck around and be one of those people too.

Talk about your relationship to the page, give it something you never have before.",
6,106,prompt,"Imagine words are money, and you are the richest person in the world, and you can't give…",money/class,,,False,True,"Imagine words are money, and you are the richest person in the world, and you can't give the money away fast enough. Thats how you can get better at writing- just throw out every idea you have with wild abandon. Don't try to be good, just be honest. play all the rest of the games with this approach.

Write
Freewriting Zone: Dump out a full messy paragraph—anything in your head. Doesn’t have to make sense. Doesn’t have to be pretty. Just keep spending words until you feel lighter.",
7,107,mixed,Grammar isn’t here to make you feel like an asshole.,,,,False,True,"Grammar isn’t here to make you feel like an asshole.
 
 
It isn’t a red pen. It isn’t detention.

Grammar is just the wiring. The switches and plugs that make your words light up the way you meant them.

Every time you’ve been cut off, misunderstood, or twisted around—grammar is the tool that could’ve saved your ass. Not school grammar, not rule-worship. Just knowing how to flip the switches so nobody can mistake what you meant.

Why care?

 Because stories are built from sentences. Sentences are built from parts. If you can control those parts, you can make damn sure your story lands exactly how you want it.

Think of grammar like:
Blueprints for a house → not the furniture, just the structure.


Beats in music → not the song, just the timing.


Road rules → not to control you, but to keep traffic flowing.


Without it, your story drifts. With it, you can bend the rules, break them, and still be understood.

 Think about a time someone misunderstood you. What did you actually mean?

Write
Freewriting Zone: Write a messy paragraph where you rant about something you’ve been misunderstood on—could be anything, petty or big. Don’t stop.",
8,108,mixed,Character Description,emotional;money/class;process;voice/style,action;reveal;foreshadow;emotion,action;reveal;foreshadow;emotion,True,True,"Character Description

What It Is
Character description is the way you give readers a mental image of who your character is — their physical presence, their style, and the little details that make them real in the mind’s eye. But it’s not just a catalog of features like “brown hair, green eyes, tall.” The best character description carries feeling, mood, and personality. It’s a way to show who they are without spelling everything out.

Good description doesn’t clog your story with a checklist of looks. Instead, it plants memorable details that stick — like a scar that whispers “there’s history here,” or a shiver in a glance that says “she’s hiding something.” It’s the difference between a character who’s a walking doll and one who feels alive, raw, and real.

Why It Matters
You might think description is just window dressing, but it’s way more than that. It’s how you connect your reader to the person on the page. When you write a strong character description, you give the reader a place to put their feelings — the first spark of empathy, fear, attraction, or suspicion.

Description also sets tone and mood. A character dressed in clean, sharp clothes might say “controlled, powerful,” while the same character in ragged clothes says “lost, desperate, on the edge.” It can foreshadow — a trembling hand might hint at a secret addiction, a nervous tick might signal deep anxiety. Without these cues, your character risks becoming a ghost, floating through the story with no weight.

Description is the gateway to character emotions and choices. If the reader can picture the character’s face, body, posture, and clothing just right, it’s easier to believe in their pain, anger, joy, or courage. It’s what makes a reader root for them or hate them.

Why Most Stories Fail Without It
Some writers skip description, thinking it slows pacing or insults the reader’s imagination. Others dump pages of surface details, turning their characters into boring, flat statues. Both extremes kill story engagement.

Without any description, readers struggle to hold onto a character’s image. They’re forced to supply their own visuals, which may not match your intention, or worse, they feel disconnected from the character altogether. You lose emotional impact and reduce your character to a name with actions but no soul.

On the flip side, too much description — paragraphs of hair color, height, shoe style, and every wrinkle — feels like filler. It stops the story dead, and readers either skim or tune out. If you focus only on looks without tying description to emotion or story, it becomes meaningless noise.

Also, cliché or generic description drains life from characters. “She had long blonde hair and blue eyes” tells us nothing. It’s boring and forgettable. And if you throw in a ton of clichés, your characters blend into the sea of other stories, losing any unique spark.

How It’s Often Misunderstood
The biggest myth is that description means dumping everything you see in your head. It doesn’t. The point isn’t to describe every detail but to pick the right details.

Another misunderstanding: description is only about appearance. Nope. It’s also about what the body does — posture, movement, nervous habits, small gestures. How someone holds themselves says more about their story than a description of their eyes ever could.

Many writers think description has to be pretty or poetic. Sometimes it does. Sometimes it should be raw, ugly, or weird — whatever fits the character and story. Description isn’t about beauty; it’s about truth.

There’s also a tendency to think description must come all at once, like a character sheet dumped at page one. Instead, spread it out. Reveal the character in chunks over time. The way a character looks in a tense scene might be different than when they’re relaxed. Let description evolve as the story and character do.

Prompt:
Picture a door opening. Your main character steps through for the very first time. Before they say a word or do a thing, show us what we notice. Pick one or two details — the way they stand, something about their clothes, a gesture they make without thinking. Let those details hint at what kind of person they might be.

Write the moment as if this is our first glimpse of them. Don’t give us their whole history. Just plant one strong image that makes them feel real, alive, and worth following into the story.",action
9,109,mixed,DESIRE,emotional;money/class;process;voice/style,action;desire;conflict;reveal;power;shift;dialogue,action;desire;conflict;reveal;power;shift;dialogue,True,True,"DESIRE

What It Is

Desire is the engine of every story. Strip away the clever structure, the sparkling dialogue, even the world itself—and what you’re left with is want. Someone wants something. That’s it. That’s the spark. It can be small or world-ending. It can be as simple as wanting to get out of bed, or as huge as wanting to save the world or win someone’s love. 

At its core, desire is a need unmet. A lack, a hunger, a hole at the center of a person. Sometimes the character knows exactly what they want. Sometimes they’re lying to themselves. Sometimes the reader sees it before the character does. But until someone wants something, nothing moves.

Desire isn’t just the “goal” written on a character sheet. It’s physical, emotional, social, spiritual. It’s layered and contradictory. Someone might want safety and excitement at the same time. They might want to be loved but also want to be left alone. Real desire is messy, raw, tangled up in fear and hope.

Every story—every good story—has desire running through its veins. That doesn’t mean everyone’s always chasing something obvious. Some characters hide their desire. Some fight it. Some bury it under denial or bravado or a mountain of self-hate. The tension between what a character wants, what they say they want, and what they actually do is the beating heart of drama.

Desire isn’t static. It shifts, grows, shrinks, flips inside out. What a character wants at the start of a story isn’t always what they need by the end. Sometimes they get what they want and realize it’s empty. Sometimes they fail and grow. Sometimes wanting is all there is.

Why Desire Matters
Without desire, there’s no story—just stuff happening. Desire is what puts pressure on the world, makes characters act, makes scenes matter. It’s the thing that makes the reader care. If you know what a character wants, you know what to fear for them, what to hope for, what to root against. Desire creates stakes.

Desire is universal. It doesn’t matter if you’re writing about gods or losers, aliens or suburban teens. Every human action, every lie, every mistake, every punchline, every tragedy—underneath it is desire, plain and messy and true.

Why Most Stories Fail Without It
Ever read something and felt nothing? Probably missing desire. Characters drift through scenes, things happen, but you don’t care—because nobody wants anything, or at least you can’t feel it. Without desire, you get plot without stakes, dialogue without tension, action without meaning.

Stories break down when desire is fuzzy, or when it never changes. If a character’s want isn’t clear, or if it doesn’t evolve, the story stalls. The reader tunes out. No one roots for wallpaper.

How Desire Is Often Misunderstood
People confuse desire with plot (“the quest for the ring”), or with personality (“she’s ambitious”). But real desire is deeper. It’s felt, not just stated. Characters might not be honest about what they want—even to themselves. Sometimes the most interesting desire is hidden, or the character is fighting against it. Want isn’t just about the surface; it’s about the itch underneath.

A lot of writing advice boils it down to “what does your character want?” but the better question is, “what are they hungry for, what would they risk, what would they kill or save or break to get it?” And: “what are they terrified to want?”

How Desire Powers Everything
Conflict: All drama is want meeting resistance.

Theme: What people want (and whether they get it) is the story’s moral core.

Plot: Every major turn is shaped by someone’s desire colliding with the world.

Scene: Every scene is a negotiation of want—who gets closer, who loses ground.

Voice: The energy of a story comes from how raw, how true, how alive the desire feels.

The Many Faces of Desire
It’s not always “I want to win.” Desire can be twisted:

Longing for connection but sabotaging it

Craving escape but clinging to routine

Yearning for approval but acting out for attention

Needing safety but diving into danger

Desire is often in conflict with itself. Some of the best stories are about characters torn in half by wanting two things at once.

The Writer’s Job
If you do nothing else—make desire clear. Make it felt. If it’s hidden, show the cracks. If it’s dangerous, show the risk. Track how it changes. If you know what every character wants, even if they lie about it, you’ve got story fuel for days.

Everything else is just style.


Prompt:
Your character has already stepped into view. Now ask: what do they want in this moment? It doesn’t have to be grand. Maybe they want a drink of water, maybe they want to be noticed, maybe they want to disappear. Show us how that desire leaks into their body and presence. Does their hand reach, do their eyes linger, do they stiffen like they’re holding something back?

Write the scene so we can feel the hunger under the surface. One small action or detail that reveals what’s pulling them forward — even if they’d never admit it out loud.",action
10,110,mixed,Character Identity — Introduction,emotional;money/class;process;voice/style,action;conflict;reveal;emotion;power;shift;discovery;mirror,,False,True,"Character Identity — Introduction

It’s more than just a name or a job title—it’s the combination of beliefs, values, cultural background, personality, experiences, and self-perception that shape how they see themselves and how they show up in the world. Identity answers the question: Who am I, really?

At its heart, identity is a living, breathing force inside your character. It guides their choices, colors their relationships, and influences how they react to challenges. When you write identity well, you don’t just create a character who acts; you create a person who feels real—a person whose actions make sense because they come from a coherent sense of self.

Identity is messy. It’s not always stable or obvious. Sometimes it’s clear and proud; sometimes it’s confused, hidden, or in conflict. A character might be wrestling with who they want to be versus who others expect them to be. Sometimes parts of their identity clash—cultural heritage vs. personal beliefs, public persona vs. private doubts, who they were vs. who they’re becoming.

For new writers, identity can be overwhelming because it’s so big. You might wonder: How do I even begin to build identity? The good news is, you already know identity intuitively from your own life. Your identity shapes everything you do. The trick is learning how to dig into your character’s identity with the same honesty and curiosity you have about yourself.

In storytelling, identity connects to everything. It’s the foundation under motivation, the lens for flaw, the frame around drive. It shapes how a character faces conflict and what kind of change they undergo. It gives readers a way to recognize the character as human and relate to their journey.

When identity is strong and clear, your character feels alive and compelling. When it’s fractured or evolving, you get drama, tension, and growth. And when it’s hidden or misunderstood, you get mystery and reveal.

Understanding identity isn’t about ticking boxes or following formulas. It’s about asking the right questions, feeling the emotional weight of those answers, and letting that shape your character’s truth. Your character’s identity is their story’s soul.


Identity and You
Identity isn’t just a writing tool. It’s a mirror you hold up—not just to your characters, but to yourself. When you explore identity in your characters, you’re really exploring what it means to be—how we all make sense of who we are in a world that’s constantly asking us to change, perform, and sometimes hide.

You already know identity because you live it every day. Your identity isn’t a static label; it’s a tangled mix of where you come from, what you believe, how you see yourself, and how others see you. Maybe it’s shaped by culture, family, gender, class, trauma, joy, rebellion, or all of those at once. Some parts of your identity you wear proudly, others you keep secret, and some parts shift over time like the seasons.

If you’ve ever felt like you don’t fully belong anywhere or that you’re playing different roles in different places, you know how complex identity can be. Maybe you’ve had to hide parts of yourself or fight to claim others. That tension, that push-pull, is exactly the kind of depth that makes a character’s identity rich and real.

When you build identity into your characters, you’re giving them a life beyond the page. Identity helps you answer the “why” behind every choice they make. Why does your character hesitate before speaking up? Why do they react with anger, or retreat into silence? Why do they crave connection, or push others away? All of these come back to identity—the story they tell themselves about who they are, what they deserve, and where they belong.

Identity is also a source of conflict and growth. Maybe your character’s identity is at war with itself—a person who wants to be brave but fears rejection, or someone raised to follow strict rules but dreams of freedom. Maybe they’re discovering something new about themselves, or struggling to hold onto what they’ve always known. Identity is where personal history, culture, belief, and emotion collide—and that collision drives some of the best drama.

If you’re feeling lost with identity, that’s okay. Nobody sits down and fully knows who they are all at once. Identity is more like a puzzle or a story you piece together as you go. Your characters don’t have to be fully formed from the start; their identity can emerge through their actions, relationships, and the world around them.

To get unstuck, start with what you do know. Maybe it’s a feeling—pride, shame, hope, fear—that you want to explore. Maybe it’s a question: Who does this character want to be? Who do they fear becoming? What parts of themselves do they hide? Use your own emotional truth as a compass. What has shaped you? How does that feel inside? Let that inform your writing.

Writing identity well means embracing complexity. People aren’t just one thing—they hold contradictions, surprises, and secrets. Characters with simple, flat identities often feel like caricatures. But those with layered, shifting identities feel human. You want your readers to see themselves in your characters—not as exact copies, but in the shared experience of figuring out who we are.

Identity is also deeply personal and political. Your character’s identity might mean safety or danger, acceptance or exile, power or invisibility. Especially if your story explores culture, race, gender, sexuality, or ability, identity is a place of real stakes. How your character lives their identity can shape their whole journey, how they connect to others, and what the story means.

Finally, remember: your character’s identity is their identity, not yours. You don’t have to know everything or get it “right” in the first draft. Let them surprise you. Let their identity evolve as you write, just like it does in real life.

Exploring identity isn’t about answers. It’s about questions and discovery—both for you as a writer and for your characters. When you write identity with honesty and curiosity, you give your story a beating heart.

Prompt:
You’ve shown us what your character looks like, and you’ve given them something to want. Now step deeper: who do they think they are? As they move through the scene, let one moment reveal the story they tell themselves about their place in the world. Maybe it slips out in a thought, in the way they stand taller or shrink back, in a gesture that shows pride or shame.

Write the scene so we glimpse the identity shaping them — not as a list of traits, but as a living tension inside them. Are they someone who belongs here, or someone pretending? Someone proud of their roots, or someone hiding them? One action or detail is enough to make us feel that question burning beneath their skin.",action
